method,mean_deletion_drop_auc,std_deletion_drop_auc,mean_insertion_auc,std_insertion_auc,mean_combined_score,std_combined_score,mean_runtime_seconds,std_runtime_seconds,completed_instances,completed_tasks,mean_test_accuracy,mean_test_balanced_accuracy
aime,0.5710217928584002,0.2699870264443744,0.733909148136651,0.17475912041082722,0.6524654704975256,0.17764330454865118,0.01705792252702751,0.0023345623925422323,74,1,0.6486486486486487,0.612942612942613
cos_fpde,0.5403602889667614,0.30136565482720123,0.6980336491546826,0.2550371096662042,0.619196969060722,0.22693588587635466,0.016522919310811072,0.0031321721016264615,74,1,0.6486486486486487,0.612942612942613
diff_fpde,0.5441043812294696,0.3037876593510302,0.6811692980519729,0.2371968083393101,0.6126368396407212,0.20755561626258603,0.016201372094594272,0.0037820771060855696,74,1,0.6486486486486487,0.612942612942613
hyb_fpde_grid,0.5403602889667614,0.30136565482720123,0.6980336491546826,0.2550371096662042,0.619196969060722,0.22693588587635466,0.02185296222973004,0.004452757809060065,74,1,0.6486486486486487,0.612942612942613
lime,0.243579365173409,0.3617961241163518,0.4048988933551574,0.24897903338985378,0.3242391292642832,0.23216447898762763,0.030706962594595513,0.002775624358970813,74,1,0.6486486486486487,0.612942612942613
shap,0.6076061272530587,0.2716355267731026,0.835360531572973,0.12602564083918305,0.7214833294130159,0.16394713499767682,0.2083307035270233,0.01877638864142293,74,1,0.6486486486486487,0.612942612942613
