method,dataset_name,task_id,seed,fold,split_id,mode,config_hash,experiment_config_hash,workflow_run_id,workflow_run_attempt,workflow_name,workflow_ref,workflow_sha,runner_invocation_hash,run_config_hash,job_config_hash,timestamp,git_commit,status,error_message,sensitivity_type,posterior_samples,lambda_hyb,n_rows,n_seeds,empirical_reference_coverage_95,mean_posterior_std,mean_ci_width,uncertainty_error_correlation,ci_width_error_correlation,mean_spearman_between_seeds,top_k_jaccard_between_seeds,attribution_distance_to_default,top_k_jaccard_to_default,sign_agreement_to_default,runtime_seconds,status_ok
bayesian_hyb_fpde,credit-g,31,,,,,,,,,,,,,,,,,,,full_grid,300,0.25,10,10,0.9950819672131148,0.006347734491072066,0.024511201181751822,0.6291062929666842,0.6279058699101003,0.8264915682472529,0.6867724867724868,0.0036622685657449845,1.0,0.9786885245901639,2.301945021799925,10
bayesian_hyb_fpde,credit-g,31,,,,,,,,,,,,,,,,,,,full_grid,300,0.5,10,10,0.9950819672131148,0.008834944280979109,0.034125370371811625,0.6225066102591221,0.6215335801163404,0.833466126094365,0.6867724867724868,0.00010659080833601391,1.0,0.9786885245901639,2.308140850399964,10
bayesian_hyb_fpde,credit-g,31,,,,,,,,,,,,,,,,,,,full_grid,300,0.75,10,10,0.9950819672131148,0.011333828838478017,0.04378973540172602,0.614537281861449,0.6145742993125329,0.8223303366825313,0.6867724867724868,0.003656934982639187,1.0,0.9754098360655737,2.3137108926000836,10
bayesian_hyb_fpde,credit-g,31,,,,,,,,,,,,,,,,,,,full_grid,500,0.25,10,10,0.9950819672131148,0.006352839439075169,0.02468206459321238,0.6182443151771548,0.61772078265468,0.8255843469063986,0.6867724867724868,0.003659463869397211,1.0,0.9934426229508198,3.2639409719998964,10
bayesian_hyb_fpde,credit-g,31,,,,,,,,,,,,,,,,,,,full_grid,500,0.5,10,10,0.9950819672131148,0.008843514448665884,0.034364038498733616,0.6186515071390798,0.617662612374405,0.8316258299547561,0.6867724867724868,0.0,1.0,1.0,3.2609554084000765,10
bayesian_hyb_fpde,credit-g,31,,,,,,,,,,,,,,,,,,,full_grid,500,0.75,10,10,0.9950819672131148,0.011345933165806404,0.04409456534023146,0.6164992067689052,0.6161819143310417,0.8261096421646392,0.6867724867724868,0.003659463869397211,1.0,0.9918032786885245,3.258685873399995,10
bayesian_hyb_fpde,diabetes,37,,,,,,,,,,,,,,,,,,,full_grid,100,0.25,10,10,1.0,0.02668298704792953,0.10050585581282272,-0.24761904761904763,-0.261904761904762,0.9698412698412697,1.0,0.05225924845274965,1.0,0.975,0.7052095281000177,10
bayesian_hyb_fpde,diabetes,37,,,,,,,,,,,,,,,,,,,full_grid,100,0.5,10,10,1.0,0.03799781182349643,0.14335325953640038,-0.16190476190476194,-0.1761904761904762,0.965079365079365,1.0,0.0006174537585406137,1.0,0.9875,0.7019516012998821,10
bayesian_hyb_fpde,diabetes,37,,,,,,,,,,,,,,,,,,,full_grid,100,0.75,10,10,1.0,0.049450125400749494,0.1866244910081693,-0.1380952380952381,-0.16190476190476194,0.951851851851852,0.9333333333333333,0.05254136540526577,0.9666666666666666,0.9875,0.7003742062998342,10
bayesian_hyb_fpde,diabetes,37,,,,,,,,,,,,,,,,,,,full_grid,300,0.25,10,10,1.0,0.0267522436415464,0.1032017827611083,-0.261904761904762,-0.2595238095238096,0.9698412698412697,1.0,0.05233915201530148,1.0,0.975,1.6022084029999377,10
bayesian_hyb_fpde,diabetes,37,,,,,,,,,,,,,,,,,,,full_grid,300,0.5,10,10,1.0,0.0381086462997895,0.14715383005486052,-0.1785714285714286,-0.17380952380952383,0.965079365079365,1.0,0.00025058695787345223,1.0,1.0,1.6075763294000993,10
bayesian_hyb_fpde,diabetes,37,,,,,,,,,,,,,,,,,,,full_grid,300,0.75,10,10,1.0,0.04960418643690405,0.19155295104310985,-0.09285714285714289,-0.09285714285714287,0.9566137566137567,0.9333333333333333,0.052332828696844594,0.9666666666666666,1.0,1.609458774699941,10
bayesian_hyb_fpde,diabetes,37,,,,,,,,,,,,,,,,,,,full_grid,500,0.25,10,10,1.0,0.026806743240308926,0.10412486570994646,-0.2547619047619048,-0.2571428571428572,0.9698412698412697,1.0,0.05232625544795342,1.0,0.9875,2.4582684171000224,10
bayesian_hyb_fpde,diabetes,37,,,,,,,,,,,,,,,,,,,full_grid,500,0.5,10,10,1.0,0.03818837623208671,0.14846092875279002,-0.16666666666666669,-0.18809523809523812,0.965079365079365,1.0,0.0,1.0,1.0,2.458250448699954,10
bayesian_hyb_fpde,diabetes,37,,,,,,,,,,,,,,,,,,,full_grid,500,0.75,10,10,1.0,0.049709861529493006,0.19332848186482107,-0.14047619047619048,-0.15000000000000002,0.9566137566137567,0.9333333333333333,0.05232625544795344,0.9666666666666666,1.0,2.462301782399899,10
bayesian_hyb_fpde,wdbc,9946,,,,,,,,,,,,,,,,,,,full_grid,100,0.25,10,10,0.9833333333333334,0.016905026204387007,0.0636132390540385,-0.3504783092324805,-0.34709677419354834,0.9885897911259424,0.7925925925925924,0.18252234227492914,1.0,0.97,0.977219653299926,10
bayesian_hyb_fpde,wdbc,9946,,,,,,,,,,,,,,,,,,,full_grid,100,0.5,10,10,0.9800000000000001,0.03175701955106193,0.11949641593343793,-0.34589543937708567,-0.3397107897664071,0.9888963045359042,0.7925925925925924,0.0005741169854005264,1.0,0.9766666666666668,0.9716307099000417,10
bayesian_hyb_fpde,wdbc,9946,,,,,,,,,,,,,,,,,,,full_grid,100,0.75,10,10,0.9800000000000001,0.046610477496100526,0.17538705275157868,-0.34638487208008895,-0.3348164627363738,0.9890149548881471,0.7925925925925924,0.18252758206402847,1.0,0.9766666666666668,0.9714999477999214,10
bayesian_hyb_fpde,wdbc,9946,,,,,,,,,,,,,,,,,,,full_grid,300,0.25,10,10,0.9833333333333334,0.016901410046732786,0.06522508443678884,-0.36431590656284757,-0.36017797552836484,0.9892127054752192,0.8296296296296294,0.18250385393313576,0.9666666666666666,0.9733333333333334,1.9141181090999524,10
bayesian_hyb_fpde,wdbc,9946,,,,,,,,,,,,,,,,,,,full_grid,300,0.5,10,10,0.9800000000000001,0.03174927680469619,0.12251086510607694,-0.35621802002224695,-0.3482981090100111,0.9892720306513407,0.7925925925925924,0.00023134046261808058,1.0,0.9733333333333334,1.9161114986999763,10
bayesian_hyb_fpde,wdbc,9946,,,,,,,,,,,,,,,,,,,full_grid,300,0.75,10,10,0.9800000000000001,0.046598584800771815,0.17980577647996687,-0.3482536151279199,-0.33837597330367075,0.9896082066493633,0.7925925925925924,0.18257923184476973,1.0,0.9733333333333334,1.9103196741999953,10
bayesian_hyb_fpde,wdbc,9946,,,,,,,,,,,,,,,,,,,full_grid,500,0.25,10,10,0.9833333333333334,0.016922227385905955,0.06571816803775984,-0.36097886540600665,-0.3631590656284761,0.9894104560622912,0.7925925925925924,0.18252309361680788,1.0,0.9933333333333334,2.798478737300127,10
bayesian_hyb_fpde,wdbc,9946,,,,,,,,,,,,,,,,,,,full_grid,500,0.5,10,10,0.9800000000000001,0.03178965620947898,0.12345838657043831,-0.36129032258064514,-0.35599555061179083,0.9896378692374241,0.7925925925925924,0.0,1.0,1.0,2.8019793516000844,10
bayesian_hyb_fpde,wdbc,9946,,,,,,,,,,,,,,,,,,,full_grid,500,0.75,10,10,0.9800000000000001,0.04665854511874387,0.18120413191324447,-0.3560400444938821,-0.3527030033370412,0.9895983191200098,0.7925925925925924,0.18252309361680788,1.0,1.0,2.796975196900013,10
