method,dataset_name,task_id,seed,fold,split_id,mode,config_hash,experiment_config_hash,workflow_run_id,workflow_run_attempt,workflow_name,workflow_ref,workflow_sha,runner_invocation_hash,run_config_hash,job_config_hash,timestamp,git_commit,status,error_message,feature,feature_index,posterior_mean,posterior_std,ci_lower_95,ci_upper_95,ci_width,p_positive,p_negative,sign_confidence,n_explained_instances,n_train,n_test,sensitivity_type,posterior_samples,lambda_hyb
bayesian_hyb_fpde,banknote-authentication,10093,4,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.008013078271227015,0.021037653897472443,-0.031027975631417883,0.04791836344015696,0.07894633907157483,0.5,0.5,1.0,50,1234,138,full_grid,100,0.25
bayesian_hyb_fpde,banknote-authentication,10093,4,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,-0.0012707462861280513,0.021495147074213534,-0.043019678440725864,0.038572817027083,0.08159249546780886,0.5085999999999999,0.4914,0.8066,50,1234,138,full_grid,100,0.25
bayesian_hyb_fpde,banknote-authentication,10093,5,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.5254389852721444,0.011774688117046087,0.5030465949433929,0.5472526880257262,0.04420609308233342,0.8,0.2,1.0,50,1234,138,full_grid,100,0.25
bayesian_hyb_fpde,banknote-authentication,10093,5,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.18710987244028787,0.021558413543434594,0.14628772790670697,0.2267300848601982,0.08044235695349122,0.58,0.42,1.0,50,1234,138,full_grid,100,0.25
bayesian_hyb_fpde,banknote-authentication,10093,5,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.03348483376008141,0.02473102396765053,-0.012957485282149073,0.07835979477398275,0.09131728005613182,0.5,0.5,1.0,50,1234,138,full_grid,100,0.25
bayesian_hyb_fpde,banknote-authentication,10093,5,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,0.0009351739004511723,0.025358800885881373,-0.046237419070747424,0.04940438075692225,0.09564179982766968,0.5272,0.4728,0.8059999999999999,50,1234,138,full_grid,100,0.25
bayesian_hyb_fpde,banknote-authentication,10093,6,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.4822189826329428,0.010950827586395104,0.4611704428295861,0.5019967844092921,0.040826341579705924,0.82,0.18,1.0,50,1234,138,full_grid,100,0.25
bayesian_hyb_fpde,banknote-authentication,10093,6,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.20474966105954348,0.01986838119329919,0.167529461072823,0.24177036185331338,0.07424090078049043,0.64,0.36,1.0,50,1234,138,full_grid,100,0.25
bayesian_hyb_fpde,banknote-authentication,10093,6,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.023920283127855445,0.02062236602390685,-0.01385377877689822,0.06248999315721677,0.07634377193411498,0.48,0.52,1.0,50,1234,138,full_grid,100,0.25
bayesian_hyb_fpde,banknote-authentication,10093,6,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,-0.001062243369785987,0.026067091582104754,-0.05053744087253059,0.047697456997964884,0.09823489787049548,0.4866,0.5134000000000001,0.8082,50,1234,138,full_grid,100,0.25
bayesian_hyb_fpde,banknote-authentication,10093,7,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.3920502791384386,0.00960691212995645,0.3737376336945074,0.40967559767067646,0.03593796397616905,0.78,0.22,1.0,50,1234,138,full_grid,100,0.25
bayesian_hyb_fpde,banknote-authentication,10093,7,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.23461519002564488,0.019296715793229,0.19910868341855006,0.2708158726985945,0.07170718928004442,0.72,0.28,1.0,50,1234,138,full_grid,100,0.25
bayesian_hyb_fpde,banknote-authentication,10093,7,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.007518799841061543,0.01926737126909624,-0.02937003456337498,0.042792497232029526,0.0721625317954045,0.48,0.52,1.0,50,1234,138,full_grid,100,0.25
bayesian_hyb_fpde,banknote-authentication,10093,7,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,-0.00459552562499867,0.02660706900943591,-0.054591545622474064,0.04562601614257995,0.10021756176505402,0.44160000000000005,0.5584,0.8084,50,1234,138,full_grid,100,0.25
bayesian_hyb_fpde,banknote-authentication,10093,8,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.4890578289778425,0.010277869115476748,0.46915296138418383,0.507558539346125,0.03840557796194124,0.84,0.16,1.0,50,1234,138,full_grid,100,0.25
bayesian_hyb_fpde,banknote-authentication,10093,8,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.1597081270020713,0.01667908824075882,0.12884667617383155,0.19087254866693987,0.0620258724931083,0.62,0.38,1.0,50,1234,138,full_grid,100,0.25
bayesian_hyb_fpde,banknote-authentication,10093,8,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.0020388708732391285,0.02226700075679704,-0.04035119297884743,0.04263875957357878,0.0829899525524262,0.44,0.56,1.0,50,1234,138,full_grid,100,0.25
bayesian_hyb_fpde,banknote-authentication,10093,8,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,0.0030488226141914885,0.026067408074664896,-0.0466098960949551,0.05170506083374418,0.09831495692869929,0.51,0.49,0.8079999999999999,50,1234,138,full_grid,100,0.25
bayesian_hyb_fpde,banknote-authentication,10093,9,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.5136424909310869,0.010801813110918096,0.4925721977763937,0.5333051905741024,0.04073299279770869,0.9,0.1,1.0,50,1234,138,full_grid,100,0.25
bayesian_hyb_fpde,banknote-authentication,10093,9,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.18535213792447588,0.01891091729200676,0.14973110420847788,0.22065426851941972,0.07092316431094182,0.64,0.36,1.0,50,1234,138,full_grid,100,0.25
bayesian_hyb_fpde,banknote-authentication,10093,9,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.014748739177054746,0.021448587759556794,-0.02448326967729759,0.055030789189251056,0.07951405886654865,0.48,0.52,1.0,50,1234,138,full_grid,100,0.25
bayesian_hyb_fpde,banknote-authentication,10093,9,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,0.0036958600568726034,0.0229985687181005,-0.04038968984929164,0.046662930675520096,0.08705262052481175,0.529,0.47100000000000003,0.8082,50,1234,138,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.12011953219584363,0.03564703621962802,0.053382680316414556,0.1863614245749715,0.13297874425855696,0.64,0.36,1.0,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.12108025382885203,0.04254483239719338,0.03757072754229633,0.19917256874573483,0.16160184120343848,0.74,0.26,1.0,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.12057060760743483,0.04187245697125494,0.04083129253149183,0.19629697539868615,0.15546568286719434,0.74,0.26,1.0,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,0.0015294915848255441,0.05131246744723933,-0.09380903836404375,0.0991448741272789,0.19295391249132265,0.5176,0.4824,0.7868,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.11596249325463115,0.03543780211770533,0.0491764591285865,0.18181309060603723,0.13263663147745072,0.64,0.36,1.0,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.1179580738043971,0.039671279860902214,0.040604502903836694,0.19068474800511656,0.15008024510127987,0.72,0.28,1.0,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.11786319957449719,0.03923391892006891,0.04371053387585112,0.1892337538546931,0.145523219978842,0.72,0.28,1.0,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,0.0007529117622928899,0.05202654094333571,-0.09567927309166442,0.10010292806384267,0.1957822011555071,0.5118,0.4882,0.7881999999999999,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.14292339468735205,0.03597659687816215,0.07462398494305778,0.2091085416298857,0.13448455668682793,0.66,0.34,1.0,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.0827383336880421,0.03968267601070422,0.005909618984905274,0.15585919165399395,0.1499495726690887,0.66,0.34,1.0,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.08326990228301509,0.03913099146694252,0.009809272378375757,0.15505845676100508,0.14524918438262932,0.66,0.34,1.0,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,0.004853342528570052,0.05287100781375461,-0.09356306390736373,0.10509850995559455,0.1986615738629583,0.5372,0.4628,0.7876000000000001,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,3,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.11377051540054847,0.03581503603083924,0.045624790010034666,0.180403986638797,0.13477919662876234,0.64,0.36,1.0,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,3,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.11512132425623697,0.041484260225012184,0.0337194626773052,0.1906442931004144,0.1569248304231092,0.72,0.28,1.0,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,3,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.11272415194344709,0.041029828850309036,0.03498799522464271,0.1879795426919399,0.1529915474672972,0.72,0.28,1.0,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,3,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,0.000533328434795938,0.050584458947498454,-0.09598554653119802,0.09488297220983834,0.19086851874103633,0.5166,0.48340000000000005,0.7886,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,4,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.1196737855940738,0.035471591758150935,0.0524453340304455,0.18517926843126176,0.13273393440081624,0.64,0.36,1.0,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,4,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.09549416061993643,0.0398813343504793,0.018570500290969464,0.16981123469159307,0.15124073440062358,0.68,0.32,1.0,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,4,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.09349006144354939,0.03956545455787337,0.01975960295073318,0.16573537194915614,0.14597576899842293,0.68,0.32,1.0,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,4,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,0.003722280128377894,0.05327335342570703,-0.09523035705582494,0.10628327891043698,0.2015136359662619,0.5352,0.4648,0.7879999999999999,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,5,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.13256681213202687,0.03660973438423224,0.06325137341317086,0.20087647016064733,0.13762509674747647,0.64,0.36,1.0,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,5,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.10823298725182068,0.038870379274200624,0.034164728562003796,0.18092689008854662,0.14676216152654284,0.7,0.3,1.0,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,5,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.10633927204823099,0.03892795991874919,0.032159389429550274,0.17635171211178413,0.14419232268223384,0.7,0.3,1.0,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,5,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,0.0059494492757211324,0.05052376666706448,-0.09084680620018748,0.10102117114453488,0.19186797734472236,0.5488000000000001,0.4512,0.7888,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,6,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.14386432616949796,0.03640138783017615,0.07573862082592914,0.21201942537527646,0.13628080454934735,0.66,0.34,1.0,50,673,75,full_grid,100,0.25
