method,dataset_name,task_id,seed,fold,split_id,mode,config_hash,experiment_config_hash,workflow_run_id,workflow_run_attempt,workflow_name,workflow_ref,workflow_sha,runner_invocation_hash,run_config_hash,job_config_hash,timestamp,git_commit,status,error_message,sensitivity_type,posterior_samples,lambda_hyb,empirical_reference_coverage_95,mean_posterior_std,mean_ci_width,uncertainty_error_correlation,ci_width_error_correlation,mean_spearman_between_seeds,top_k_jaccard_between_seeds,attribution_distance_to_default,top_k_jaccard_to_default,sign_agreement_to_default,runtime_seconds,n_seeds,n_reference_seeds,n_common_features,sign_confidence_threshold,metric_direction,uncertainty_error_pearson,sign_agreement_at_confidence,median_ci_width,mean_abs_error_to_reference,top_k_jaccard_to_reference
bayesian_hyb_fpde,blood-transfusion-service-center,10101,0,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27180951904,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,618cca24a2bf,618cca24a2bf,628cc710de81,2026-06-09T03:13:53+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,full_grid,500,0.25,1.0,0.04310611372744917,0.16743156789328695,-0.39999999999999997,-0.39999999999999997,0.6399999999999999,1.0,0.012955872774691433,1.0,1.0,2.3722444900000426,10,9,4,0.8,higher_is_better,-0.3542256566751899,1.0,0.16235071815119115,0.007151520489855453,1.0
bayesian_hyb_fpde,blood-transfusion-service-center,10101,1,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27180951904,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,618cca24a2bf,618cca24a2bf,74054990f087,2026-06-09T03:13:53+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,full_grid,500,0.25,1.0,0.041875457333351254,0.1628244160613025,-0.19999999999999998,-0.19999999999999998,0.6399999999999999,1.0,0.009637764319267115,1.0,1.0,2.3715697259999047,10,9,4,0.8,higher_is_better,-0.9265937055922487,1.0,0.1527392211246569,0.006364855645922702,1.0
bayesian_hyb_fpde,blood-transfusion-service-center,10101,2,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27180951904,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,618cca24a2bf,618cca24a2bf,b752772d827b,2026-06-09T03:13:54+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,full_grid,500,0.25,1.0,0.042183004488594286,0.16405228367478963,-0.19999999999999998,-0.39999999999999997,0.6399999999999999,1.0,0.008456162523593241,1.0,1.0,2.373094758000093,10,9,4,0.8,higher_is_better,-0.8801288696608617,1.0,0.15271365259138434,0.021826631492133635,1.0
bayesian_hyb_fpde,blood-transfusion-service-center,10101,3,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27180951904,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,618cca24a2bf,618cca24a2bf,4cbc9287fcb0,2026-06-09T03:13:54+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,full_grid,500,0.25,1.0,0.042564339487063944,0.1652663542163772,-1.0,-0.7999999999999999,0.6399999999999999,1.0,0.010936732166232381,1.0,1.0,2.38005248200011,10,9,4,0.8,higher_is_better,-0.9402427397616707,1.0,0.16033090068312328,0.0051318640277189164,1.0
bayesian_hyb_fpde,blood-transfusion-service-center,10101,4,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27180951904,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,618cca24a2bf,618cca24a2bf,c0b78b399a8a,2026-06-09T03:13:54+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,full_grid,500,0.25,1.0,0.04227522844130542,0.1642848109562929,-0.19999999999999998,-0.19999999999999998,0.6399999999999999,1.0,0.008322824338808614,1.0,1.0,2.374228185999982,10,9,4,0.8,higher_is_better,-0.40965893843792944,1.0,0.1538280021499817,0.009825393798076272,1.0
bayesian_hyb_fpde,blood-transfusion-service-center,10101,5,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27180951904,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,618cca24a2bf,618cca24a2bf,e735f84c5692,2026-06-09T03:13:54+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,full_grid,500,0.25,1.0,0.0415403771989722,0.16116615749900748,-0.19999999999999998,-0.19999999999999998,0.6399999999999999,1.0,0.009145231874163672,1.0,1.0,2.3762698189998446,10,9,4,0.8,higher_is_better,-0.23169113020829926,1.0,0.1496526765157914,0.005189022306764793,1.0
bayesian_hyb_fpde,blood-transfusion-service-center,10101,6,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27180951904,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,618cca24a2bf,618cca24a2bf,7848475dff5f,2026-06-09T03:13:54+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,full_grid,500,0.25,1.0,0.04264055313835681,0.16568009522527422,-0.7999999999999999,-0.7999999999999999,0.6399999999999999,1.0,0.008609087846073865,1.0,1.0,2.36795580500052,10,9,4,0.8,higher_is_better,-0.858741906312819,1.0,0.16370286708126014,0.00999207095023273,1.0
bayesian_hyb_fpde,blood-transfusion-service-center,10101,7,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27180951904,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,618cca24a2bf,618cca24a2bf,23d2a9c1b5d1,2026-06-09T03:13:54+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,full_grid,500,0.25,1.0,0.042654685143104595,0.16551329996658515,0.39999999999999997,0.39999999999999997,0.6399999999999999,1.0,0.01063281292954419,1.0,1.0,2.3776232869997784,10,9,4,0.8,higher_is_better,0.015526197835297776,1.0,0.16439506023652956,0.006378386125441251,1.0
bayesian_hyb_fpde,blood-transfusion-service-center,10101,8,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27180951904,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,618cca24a2bf,618cca24a2bf,69c1fb79f291,2026-06-09T03:13:54+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,full_grid,500,0.25,1.0,0.042654470565748205,0.16566334100265007,-0.39999999999999997,-0.39999999999999997,0.6399999999999999,1.0,0.00975066305732397,1.0,1.0,2.3620182730003307,10,9,4,0.8,higher_is_better,-0.6034885850517775,1.0,0.15980492271354557,0.004825272487594154,1.0
bayesian_hyb_fpde,blood-transfusion-service-center,10101,9,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27180951904,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,618cca24a2bf,618cca24a2bf,f51f8ea90c65,2026-06-09T03:13:54+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,full_grid,500,0.25,1.0,0.04250078485604472,0.16503870135506826,-0.39999999999999997,-0.39999999999999997,0.6399999999999999,1.0,0.012218945152336014,1.0,1.0,2.382467864999967,10,9,4,0.8,higher_is_better,-0.7328829157177957,1.0,0.15811086099283392,0.01347434958589939,1.0
