dataset,fold,method,n,evidence_mean,evidence_std,evidence_median,evidence_n,prototype_margin_mean,prototype_margin_std,prototype_margin_median,prototype_margin_n,abs_exactness_residual_mean,abs_exactness_residual_std,abs_exactness_residual_median,abs_exactness_residual_n,deletion_drop_auc_mean,deletion_drop_auc_std,deletion_drop_auc_median,deletion_drop_auc_n,insertion_gain_auc_mean,insertion_gain_auc_std,insertion_gain_auc_median,insertion_gain_auc_n,combined_score_mean,combined_score_std,combined_score_median,combined_score_n,runtime_sec_mean,runtime_sec_std,runtime_sec_median,runtime_sec_n,prototype_margin_positive_rate,n_positive_margin,n_negative_margin
esc50,1,dynamic_cos,1,0.38568858009696816,0.0,0.38568858009696816,1,0.38568858009696816,0.0,0.38568858009696816,1,0.0,0.0,0.0,1,0.7640279019897807,0.0,0.7640279019897807,1,0.7640279019897805,0.0,0.7640279019897805,1,0.7640279019897807,0.0,0.7640279019897807,1,0.0051383000009082025,0.0,0.0051383000009082025,1,1.0,1,0
esc50,1,dynamic_diff,2,711.1350293229718,710.0965985457406,711.1350293229718,2,711.1350293229718,710.0965985457406,711.1350293229718,2,0.0,0.0,0.0,2,0.9946314371147897,0.24523602637055247,0.9946314371147897,2,0.9946314371147897,0.24523602637055247,0.9946314371147897,2,0.9946314371147897,0.24523602637055247,0.9946314371147897,2,0.005770900000243273,0.00014389999978448031,0.005770900000243273,2,1.0,2,0
esc50,1,dynamic_hyb,1,0.4254478259826333,0.0,0.4254478259826333,1,0.4254478259826333,0.0,0.4254478259826333,1,0.0,0.0,0.0,1,0.7638632293463737,0.0,0.7638632293463737,1,0.7638632293463736,0.0,0.7638632293463736,1,0.7638632293463736,0.0,0.7638632293463736,1,0.005092700001114281,0.0,0.005092700001114281,1,1.0,1,0
esc50,1,energy_baseline,2,711.1350293229718,710.0965985457406,711.1350293229718,2,711.1350293229718,710.0965985457406,711.1350293229718,2,,,,0,0.8658633834988436,0.2522167683174749,0.8658633834988436,2,0.8658633834988438,0.252216768317475,0.8658633834988438,2,0.8658633834988436,0.2522167683174749,0.8658633834988436,2,0.005373149999286397,0.0001890500006993534,0.005373149999286397,2,1.0,2,0
esc50,1,random_baseline,2,711.1350293229718,710.0965985457406,711.1350293229718,2,711.1350293229718,710.0965985457406,711.1350293229718,2,,,,0,0.13192064743742413,0.35797822051871797,0.13192064743742413,2,0.13192064743742402,0.35797822051871797,0.13192064743742402,2,0.13192064743742404,0.35797822051871797,0.13192064743742404,2,0.005071399999906134,2.4500000108673703e-05,0.005071399999906134,2,1.0,2,0
