dataset,fold,method,n,evidence_mean,evidence_std,evidence_median,evidence_n,abs_exactness_residual_mean,abs_exactness_residual_std,abs_exactness_residual_median,abs_exactness_residual_n,deletion_drop_auc_mean,deletion_drop_auc_std,deletion_drop_auc_median,deletion_drop_auc_n,insertion_gain_auc_mean,insertion_gain_auc_std,insertion_gain_auc_median,insertion_gain_auc_n,combined_score_mean,combined_score_std,combined_score_median,combined_score_n,runtime_sec_mean,runtime_sec_std,runtime_sec_median,runtime_sec_n
esc50,1,dynamic_cos,10,-0.37175489955971697,0.4083708721020093,-0.34058318383607095,10,0.0,0.0,0.0,10,-0.07432637323584564,0.6349574771726652,-0.40227690415202805,10,-0.07432637323584557,0.634957477172665,-0.40227690415202805,10,-0.0743263732358456,0.6349574771726652,-0.40227690415202805,10,0.005335000000013679,0.00029199847950158364,0.005282600000100501,10
esc50,1,dynamic_diff,10,-1894.5484147329287,1912.045728806411,-1653.1259570278999,10,0.0,0.0,0.0,10,-0.0763019746162873,0.6312849628745809,-0.4212467596883539,10,-0.07630197461628725,0.6312849628745809,-0.4212467596883538,10,-0.07630197461628727,0.6312849628745809,-0.42124675968835384,10,0.005524739999964367,0.0003766320382307477,0.005605750000540866,10
esc50,1,dynamic_hyb,10,-0.3383202302811422,0.35271615912864096,-0.35818879244026847,10,0.0,0.0,0.0,10,-0.07474371009178968,0.6388581289820676,-0.41473629859291405,10,-0.07474371009178968,0.6388581289820674,-0.41473629859291405,10,-0.07474371009178968,0.6388581289820675,-0.41473629859291405,10,0.005428349999783677,0.00030524551786878415,0.00543294999988575,10
esc50,1,energy_baseline,10,-1894.5484147329287,1912.045728806411,-1653.1259570278999,10,,,,0,-0.12961848700864761,0.6181478127086595,-0.4254634532477668,10,-0.12961848700864756,0.6181478127086596,-0.4254634532477668,10,-0.1296184870086476,0.6181478127086595,-0.4254634532477668,10,0.005380970000078378,0.00030212807257666606,0.005344999999579159,10
esc50,1,random_baseline,10,-1894.5484147329287,1912.045728806411,-1653.1259570278999,10,,,,0,-0.38233014764905804,0.3036598849714674,-0.4971627235502173,10,-0.3823301476490579,0.30365988497146734,-0.49716272355021723,10,-0.382330147649058,0.30365988497146734,-0.49716272355021723,10,0.005381649999981164,0.00036285201981428437,0.005272100001093349,10
