method,mean_deletion_drop_auc,std_deletion_drop_auc,mean_insertion_auc,std_insertion_auc,mean_combined_score,std_combined_score,mean_runtime_seconds,std_runtime_seconds,completed_instances,completed_tasks,mean_test_accuracy,mean_test_balanced_accuracy
aime,0.3863011456171745,0.18815417072205828,0.7792072200925669,0.07584415954060761,0.5827541828548707,0.10846022287195405,0.017293155520001165,0.007052872630433735,50,1,0.66,0.641215106732348
cos_fpde,0.38644439344313547,0.19208148215408669,0.7791992342296973,0.0753145803592973,0.5828218138364164,0.11049029762657182,0.012028786799999693,0.0035850526966761703,50,1,0.66,0.641215106732348
diff_fpde,0.386380841767388,0.19207385703682328,0.7800749761775607,0.07597862117454644,0.5832279089724743,0.11092205211410133,0.012809744899998919,0.005911115247147161,50,1,0.66,0.641215106732348
hyb_fpde_grid,0.38630257178302857,0.192018914794596,0.7801408465937745,0.07600751425142523,0.5832217091884014,0.11091735302833278,0.014844084020000991,0.004728929204717026,50,1,0.66,0.641215106732348
lime,-0.055228161169572125,0.10854744307770985,0.33905400258018004,0.10837559544009233,0.14191292070530398,0.06830685953135511,0.029608019559999546,0.005626513919420841,50,1,0.66,0.641215106732348
shap,0.061678132752112313,0.17300107426248915,0.47706697087725275,0.25085636142220263,0.2693725518146825,0.2019732815420093,0.03711729795999759,0.012767308031352852,50,1,0.66,0.641215106732348
