method,mean_deletion_drop_auc,std_deletion_drop_auc,mean_insertion_auc,std_insertion_auc,mean_combined_score,std_combined_score,mean_runtime_seconds,std_runtime_seconds,completed_instances,completed_tasks,mean_test_accuracy,mean_test_balanced_accuracy
aime,0.2909151891192346,0.10980088214384148,0.9035827829930154,0.03877381656924492,0.597248986056125,0.06139017832387057,0.005017740085712928,7.268221473012116e-05,70,1,0.9714285714285714,0.9682971014492754
cos_fpde,0.29347994763754354,0.10940845452138608,0.9034347962270489,0.03870444662724375,0.5984573719322963,0.06147521751423961,0.003972661199998535,0.00027456812104844974,70,1,0.9714285714285714,0.9682971014492754
diff_fpde,0.29596386682786174,0.10908387525623084,0.904013798974504,0.038607915655527125,0.5999888329011829,0.061304670960989974,0.003887594557141532,4.502173397850014e-05,70,1,0.9714285714285714,0.9682971014492754
hyb_fpde_grid,0.29596386682786174,0.10908387525623084,0.904013798974504,0.038607915655527125,0.5999888329011829,0.061304670960989974,0.005951311671426701,4.436601610495664e-05,70,1,0.9714285714285714,0.9682971014492754
lime,0.13445927199382973,0.11254508752976895,0.7547589031312224,0.1287825976995334,0.44460908756252604,0.11498548435131538,0.009347291799997898,0.00012864134979856233,70,1,0.9714285714285714,0.9682971014492754
shap,0.14974823532906967,0.1375310163319929,0.7287881297249541,0.14869586484907457,0.4392681825270119,0.1337958439095357,0.03893011697142786,0.02065559216649849,70,1,0.9714285714285714,0.9682971014492754
