candidate_id,status,fpde_mode,method_variant,normalize,lambda_hyb,lambda_grid_mode,anchor_strategy,selection_objective,validation_metric_source,score,mean_combined_score,mean_deletion_drop_auc,mean_insertion_auc,mean_deletion_auc,mean_p0,mean_evidence,mean_exactness_abs_residual,n_eval_samples,n_success,n_error,task_id,dataset_name,selected_lambda
0,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.0,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.8683182735812056,0.8683182735812056,0.8409218418561273,0.8957147053062837,0.13758510304301502,0.9785069448991425,0.48246178242603954,4.68895755556531e-17,200,200,0,12,mfeat-factors,0.0
1,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.1,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.863779807529556,0.863779807529556,0.8370021361083235,0.8905574789507884,0.14150480879081878,0.9785069448991425,0.4938858332536718,4.5666595505089446e-17,200,200,0,12,mfeat-factors,0.0
2,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.2,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.8581933388796125,0.8581933388796125,0.831665402382907,0.8847212753763181,0.14684154251623543,0.9785069448991425,0.5053098840813042,4.914471607442294e-17,200,200,0,12,mfeat-factors,0.0
3,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.3,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.8530001756082478,0.8530001756082478,0.8257081146899745,0.8802922365265212,0.15279883020916799,0.9785069448991425,0.5167339349089363,4.817327092787593e-17,200,200,0,12,mfeat-factors,0.0
4,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.4,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.8457394132457113,0.8457394132457113,0.8175395500318252,0.8739392764595973,0.16096739486731707,0.9785069448991425,0.5281579857365686,4.4114017994090204e-17,200,200,0,12,mfeat-factors,0.0
5,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.5,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.8402976880411146,0.8402976880411146,0.8103804608349356,0.8702149152472933,0.16812648406420672,0.9785069448991425,0.5395820365642008,3.903127820947816e-17,200,200,0,12,mfeat-factors,0.0
6,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.6,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.8334227006212632,0.8334227006212632,0.8002846969012839,0.8665607043412422,0.17822224799785844,0.9785069448991425,0.551006087391833,5.231058641808062e-17,200,200,0,12,mfeat-factors,0.0
7,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.7,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.8216308845179634,0.8216308845179634,0.7865082264927068,0.8567535425432199,0.19199871840643554,0.9785069448991425,0.5624301382194653,5.780098621954721e-17,200,200,0,12,mfeat-factors,0.0
8,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.8,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.8110952624641017,0.8110952624641017,0.7731439671485443,0.849046557779659,0.20536297775059809,0.9785069448991425,0.5738541890470975,5.594916890894197e-17,200,200,0,12,mfeat-factors,0.0
9,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.9,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.7967423401645384,0.7967423401645384,0.7546910236039857,0.8387936567250911,0.2238159212951568,0.9785069448991425,0.5852782398747297,5.903263988749075e-17,200,200,0,12,mfeat-factors,0.0
10,ok,hyb_grid,hyb_fpde_grid_validation,l1,1.0,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.7761522801537016,0.7761522801537016,0.7322374819195927,0.8200670783878107,0.24626946297954974,0.9785069448991425,0.5967022907023619,4.987980514736812e-17,200,200,0,12,mfeat-factors,0.0
