candidate_id,status,fpde_mode,method_variant,normalize,lambda_hyb,lambda_grid_mode,anchor_strategy,selection_objective,validation_metric_source,score,mean_combined_score,mean_deletion_drop_auc,mean_insertion_auc,mean_deletion_auc,mean_p0,mean_evidence,mean_exactness_abs_residual,n_eval_samples,n_success,n_error,task_id,dataset_name,selected_lambda
0,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.0,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.663310047410537,0.663310047410537,0.3797590479504213,0.9468610468706526,0.5744955036490673,0.9542545515994886,0.4497107957901473,6.665458116006384e-17,200,200,0,9977,nomao,0.0
1,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.1,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.6618185863934665,0.6618185863934665,0.37710989272956996,0.946527280057363,0.5771446588699187,0.9542545515994886,0.4559629765100708,7.022160630754115e-17,200,200,0,9977,nomao,0.0
2,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.2,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.6623888293004749,0.6623888293004749,0.3780948265196582,0.9466828320812917,0.5761597250798305,0.9542545515994886,0.4622151572299944,6.918077222195507e-17,200,200,0,9977,nomao,0.0
3,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.3,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.6629298508693405,0.6629298508693405,0.37885606637534097,0.9470036353633401,0.5753984852241477,0.9542545515994886,0.4684673379499179,6.322199708197474e-17,200,200,0,9977,nomao,0.0
4,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.4,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.6629850003827786,0.6629850003827786,0.3791166589655198,0.9468533418000373,0.5751378926339688,0.9542545515994886,0.47471951866984147,5.3533566468644266e-17,200,200,0,9977,nomao,0.0
5,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.5,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.662419914289974,0.662419914289974,0.3778251005169397,0.9470147280630085,0.576429451082549,0.9542545515994886,0.4809716993897651,5.427949756331429e-17,200,200,0,9977,nomao,0.0
6,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.6,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.6626101564589487,0.6626101564589487,0.37797362241538984,0.9472466905025075,0.5762809291840988,0.9542545515994886,0.4872238801096886,5.4799914606107336e-17,200,200,0,9977,nomao,0.0
7,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.7,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.6624799527148795,0.6624799527148795,0.3777027763875229,0.9472571290422361,0.5765517752119657,0.9542545515994886,0.4934760608296122,6.892056370055854e-17,200,200,0,9977,nomao,0.0
8,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.8,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.6623028007420877,0.6623028007420877,0.37734099597215026,0.9472646055120247,0.5769135556273384,0.9542545515994886,0.49972824154953577,6.928485563051367e-17,200,200,0,9977,nomao,0.0
9,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.9,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.6610357975814393,0.6610357975814393,0.37529888308694054,0.946772712075938,0.5789556685125481,0.9542545515994886,0.5059804222694593,6.274494812608112e-17,200,200,0,9977,nomao,0.0
10,ok,hyb_grid,hyb_fpde_grid_validation,l1,1.0,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.6618611235228836,0.6618611235228836,0.37674970354663656,0.9469725434991306,0.5775048480528521,0.9542545515994886,0.5122326029893829,6.476251284380508e-17,200,200,0,9977,nomao,0.0
