candidate_id,status,fpde_mode,method_variant,normalize,lambda_hyb,lambda_grid_mode,anchor_strategy,selection_objective,validation_metric_source,score,mean_combined_score,mean_deletion_drop_auc,mean_insertion_auc,mean_deletion_auc,mean_p0,mean_evidence,mean_exactness_abs_residual,n_eval_samples,n_success,n_error,task_id,dataset_name,selected_lambda
0,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.0,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.7587577474590518,0.7587577474590518,0.5874815296398941,0.9300339652782095,0.3967531748716422,0.9842347045115363,0.5470441933821515,8.610633793153463e-17,152,152,0,3549,analcatdata_authorship,0.0
1,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.1,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.7584566361957384,0.7584566361957384,0.5877810648476001,0.9291322075438766,0.39645363966393615,0.9842347045115363,0.548331760620222,8.915565654165011e-17,152,152,0,3549,analcatdata_authorship,0.0
2,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.2,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.7576962913610517,0.7576962913610517,0.5873552881670958,0.9280372945550075,0.39687941634444046,0.9842347045115363,0.5496193278582927,8.130375028196562e-17,152,152,0,3549,analcatdata_authorship,0.0
3,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.3,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.7564309735292769,0.7564309735292769,0.5865328037579421,0.9263291433006117,0.3977019007535942,0.9842347045115363,0.5509068950963631,7.966032804156653e-17,152,152,0,3549,analcatdata_authorship,0.0
4,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.4,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.7548156575041689,0.7548156575041689,0.5854042214874808,0.9242270935208571,0.39883048302405544,0.9842347045115363,0.5521944623344339,7.865601445021155e-17,152,152,0,3549,analcatdata_authorship,0.0
5,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.5,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.754071251026755,0.754071251026755,0.5846772032301911,0.923465298823319,0.3995575012813452,0.9842347045115363,0.5534820295725045,6.998239707032751e-17,152,152,0,3549,analcatdata_authorship,0.0
6,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.6,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.7529054400858498,0.7529054400858498,0.5832168874357844,0.9225939927359155,0.401017817075752,0.9842347045115363,0.554769596810575,7.217362672419295e-17,152,152,0,3549,analcatdata_authorship,0.0
7,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.7,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.750019547016983,0.750019547016983,0.5807708480164347,0.9192682460175313,0.4034638564951014,0.9842347045115363,0.5560571640486456,7.358879587564771e-17,152,152,0,3549,analcatdata_authorship,0.0
8,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.8,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.7482992952407681,0.7482992952407681,0.5789233776037337,0.9176752128778025,0.4053113269078025,0.9842347045115363,0.5573447312867161,9.025127136858283e-17,152,152,0,3549,analcatdata_authorship,0.0
9,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.9,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.7483484020741227,0.7483484020741227,0.5788051822190269,0.9178916219292186,0.4054295222925095,0.9842347045115363,0.5586322985247868,9.198599484455964e-17,152,152,0,3549,analcatdata_authorship,0.0
10,ok,hyb_grid,hyb_fpde_grid_validation,l1,1.0,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.7464673160831997,0.7464673160831997,0.5759401829894465,0.9169944491769528,0.40829452152208967,0.9842347045115363,0.5599198657628573,8.920130715943897e-17,152,152,0,3549,analcatdata_authorship,0.0
