dataset,fold,method,n,n_unique_samples,n_rows,random_repetitions_mean,evidence_mean,evidence_std,evidence_median,evidence_n,prototype_margin_mean,prototype_margin_std,prototype_margin_median,prototype_margin_n,selection_margin_mean,selection_margin_std,selection_margin_median,selection_margin_n,evaluation_evidence_mean,evaluation_evidence_std,evaluation_evidence_median,evaluation_evidence_n,evaluation_margin_mean,evaluation_margin_std,evaluation_margin_median,evaluation_margin_n,abs_exactness_residual_mean,abs_exactness_residual_std,abs_exactness_residual_median,abs_exactness_residual_n,deletion_drop_auc_mean,deletion_drop_auc_std,deletion_drop_auc_median,deletion_drop_auc_n,insertion_gain_auc_mean,insertion_gain_auc_std,insertion_gain_auc_median,insertion_gain_auc_n,combined_score_mean,combined_score_std,combined_score_median,combined_score_n,runtime_sec_mean,runtime_sec_std,runtime_sec_median,runtime_sec_n,prototype_margin_positive_rate,n_positive_margin,n_negative_margin,selection_margin_positive_rate,n_selection_positive_margin,n_selection_negative_margin
esc50,1,dynamic_cos,97,97,97,,0.0878607898170414,0.08076664449094499,0.07916672654452805,97,0.0878607898170414,0.08076664449094499,0.07916672654452805,97,462.531127103215,510.53472540143383,293.5133938696586,97,0.0878607898170414,0.08076664449094499,0.07916672654452805,97,0.0878607898170414,0.08076664449094499,0.07916672654452805,97,1.1094629653702182e-17,1.460013966078091e-17,6.938893903907228e-18,97,0.7733953472861831,0.7965801985362633,0.7282107194647309,97,0.7733953472861831,0.7965801985362634,0.7282107194647309,97,0.7733953472861831,0.7965801985362634,0.7282107194647309,97,0.00709618770387473,0.0014490977986318094,0.006313839244812698,97,0.865979381443299,84,13,1.0,97,0
esc50,1,dynamic_diff,97,97,97,,462.531127103215,510.53472540143383,293.5133938696586,97,462.531127103215,510.53472540143383,293.5133938696586,97,462.531127103215,510.53472540143383,293.5133938696586,97,462.531127103215,510.53472540143383,293.5133938696586,97,462.531127103215,510.53472540143383,293.5133938696586,97,6.641193894932998e-14,1.0591775079700026e-13,2.842170943040401e-14,97,0.7520322494475532,0.7401156348686465,0.7254451414812844,97,0.7520322494475532,0.7401156348686465,0.7254451414812844,97,0.7520322494475532,0.7401156348686465,0.7254451414812844,97,0.007452979482144486,0.0014500142132660705,0.00659942174970638,97,1.0,97,0,1.0,97,0
esc50,1,dynamic_hyb,97,97,97,,0.19962965544482644,0.15728307053450966,0.182437889027237,97,0.19962965544482644,0.15728307053450966,0.182437889027237,97,462.531127103215,510.53472540143383,293.5133938696586,97,0.19962965544482644,0.15728307053450966,0.182437889027237,97,0.19962965544482644,0.15728307053450966,0.182437889027237,97,2.7632624853800662e-17,3.7830402034178305e-17,1.3877787807814457e-17,97,0.7768824525712048,0.7706090679319614,0.7307013259095336,97,0.7768824525712048,0.7706090679319615,0.7307013259095336,97,0.7768824525712048,0.7706090679319615,0.7307013259095336,97,0.006817014213839994,0.0013389404911536775,0.0060075987486197845,97,0.9484536082474226,92,5,1.0,97,0
esc50,1,energy_baseline,97,97,97,,462.531127103215,510.5347254014338,293.5133938696586,97,462.531127103215,510.5347254014338,293.5133938696586,97,462.531127103215,510.53472540143383,293.5133938696586,97,462.531127103215,510.5347254014338,293.5133938696586,97,462.531127103215,510.5347254014338,293.5133938696586,97,,,,0,0.38074446015059776,0.7304277382939225,0.506616810699475,97,0.38074446015059776,0.7304277382939225,0.506616810699475,97,0.38074446015059776,0.7304277382939226,0.506616810699475,97,0.006681477319981456,0.0016043907569897372,0.005890799999178853,97,1.0,97,0,1.0,97,0
esc50,1,random_baseline,97,97,485,5.0,462.531127103215,510.5347254014338,293.5133938696586,97,462.531127103215,510.5347254014338,293.5133938696586,97,462.531127103215,510.53472540143383,293.5133938696586,97,462.531127103215,510.5347254014338,293.5133938696586,97,462.531127103215,510.5347254014338,293.5133938696586,97,,,,0,0.2752772093628179,0.42464086927484224,0.4987742354738563,97,0.2752772093628179,0.42464086927484224,0.49877423547385635,97,0.2752772093628179,0.42464086927484224,0.4987742354738563,97,0.0066953216495620055,0.0012593470281032334,0.006743740000820253,97,1.0,97,0,1.0,97,0
esc50,2,dynamic_cos,108,108,108,,0.09303935235571732,0.0809537248499884,0.06637772929237921,108,0.09303935235571732,0.0809537248499884,0.06637772929237921,108,490.84285644636077,553.7956397539917,299.6281398490048,108,0.09303935235571732,0.0809537248499884,0.06637772929237921,108,0.09303935235571732,0.0809537248499884,0.06637772929237921,108,1.1460418519531962e-17,1.5360531748155574e-17,6.938893903907228e-18,108,0.9959806392402685,1.5955539325272132,0.6988655461179569,108,0.9959806392402685,1.5955539325272134,0.698865546117957,108,0.9959806392402685,1.5955539325272134,0.6988655461179569,108,0.006389021879963197,0.001121296550600841,0.006194642248665332,108,0.9259259259259259,100,8,1.0,108,0
esc50,2,dynamic_diff,108,108,108,,490.84285644636077,553.7956397539917,299.6281398490048,108,490.84285644636077,553.7956397539917,299.6281398490048,108,490.84285644636077,553.7956397539917,299.6281398490048,108,490.84285644636077,553.7956397539917,299.6281398490048,108,490.84285644636077,553.7956397539917,299.6281398490048,108,6.101292310884471e-14,1.0559494607812723e-13,2.842170943040401e-14,108,0.9286092986291575,1.17710416170493,0.6954350308057635,108,0.9286092986291575,1.17710416170493,0.6954350308057634,108,0.9286092986291575,1.17710416170493,0.6954350308057634,108,0.0063118413238758145,0.0009585446965636905,0.006110942249288201,108,1.0,108,0,1.0,108,0
esc50,2,dynamic_hyb,108,108,108,,0.1999910346966297,0.147446922922724,0.17730460203994786,108,0.1999910346966297,0.147446922922724,0.17730460203994786,108,490.84285644636077,553.7956397539917,299.6281398490048,108,0.1999910346966297,0.147446922922724,0.17730460203994786,108,0.1999910346966297,0.147446922922724,0.17730460203994786,108,2.973123290771361e-17,3.2569154862123516e-17,2.7755575615628914e-17,108,1.0026871373217374,1.5899419886949657,0.7061224611345932,108,1.0026871373217374,1.5899419886949657,0.7061224611345931,108,1.0026871373217374,1.5899419886949657,0.7061224611345932,108,0.006339896879751366,0.0010229224086787795,0.0060956922541481615,108,0.9629629629629629,104,4,1.0,108,0
esc50,2,energy_baseline,108,108,108,,490.8428564463607,553.7956397539917,299.62813984900487,108,490.8428564463607,553.7956397539917,299.62813984900487,108,490.84285644636077,553.7956397539917,299.6281398490048,108,490.8428564463607,553.7956397539917,299.62813984900487,108,490.8428564463607,553.7956397539917,299.62813984900487,108,,,,0,0.287068369133081,0.945342463565657,0.5184616475803554,108,0.287068369133081,0.9453424635656571,0.5184616475803554,108,0.287068369133081,0.9453424635656571,0.5184616475803554,108,0.006677052777915917,0.001044159091642381,0.006347899998218054,108,1.0,108,0,1.0,108,0
esc50,2,random_baseline,108,108,540,5.0,490.8428564463607,553.7956397539917,299.62813984900487,108,490.8428564463607,553.7956397539917,299.62813984900487,108,490.8428564463607,553.7956397539917,299.6281398490048,108,490.8428564463607,553.7956397539917,299.62813984900487,108,490.8428564463607,553.7956397539917,299.62813984900487,108,,,,0,0.23181757876139297,0.43920626932819556,0.49610336230632057,108,0.231817578761393,0.43920626932819556,0.49610336230632057,108,0.23181757876139297,0.43920626932819556,0.49610336230632057,108,0.006796915925857589,0.0008803156908250688,0.0071284300007391724,108,1.0,108,0,1.0,108,0
