candidate_id,status,fpde_mode,method_variant,normalize,lambda_hyb,lambda_grid_mode,anchor_strategy,selection_objective,validation_metric_source,score,mean_combined_score,mean_deletion_drop_auc,mean_insertion_auc,mean_deletion_auc,mean_p0,mean_evidence,mean_exactness_abs_residual,n_eval_samples,n_success,n_error,task_id,dataset_name,selected_lambda
0,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.0,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.6286245826887612,0.6286245826887612,0.537290895281137,0.7199582700963851,0.46176885232619647,0.9990597476073336,0.2900429181617546,4.6178338930502607e-17,200,200,0,9960,wall-robot-navigation,0.7
1,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.1,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.6295989876680972,0.6295989876680972,0.5397245072140957,0.7194734681220986,0.45933524039323786,0.9990597476073336,0.2888852641050132,4.512883122753664e-17,200,200,0,9960,wall-robot-navigation,0.7
2,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.2,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.6294004785307606,0.6294004785307606,0.5385150274952969,0.7202859295662245,0.46054472011203673,0.9990597476073336,0.2877276100482719,4.869802477935892e-17,200,200,0,9960,wall-robot-navigation,0.7
3,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.3,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.6297122798537724,0.6297122798537724,0.540623001666612,0.7188015580409328,0.4584367459407215,0.9990597476073336,0.28656995599153046,4.917507373525254e-17,200,200,0,9960,wall-robot-navigation,0.7
4,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.4,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.6306642928772432,0.6306642928772432,0.5431547263031572,0.7181738594513293,0.4559050213041763,0.9990597476073336,0.28541230193478906,4.872838244018851e-17,200,200,0,9960,wall-robot-navigation,0.7
5,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.5,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.6303800027114187,0.6303800027114187,0.5434821274027979,0.7172778780200396,0.4555776202045357,0.9990597476073336,0.28425464787804766,3.636847767385376e-17,200,200,0,9960,wall-robot-navigation,0.7
6,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.6,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.6296032035965234,0.6296032035965234,0.5442588290165351,0.7149475781765119,0.45480091859079846,0.9990597476073336,0.28309699382130626,4.6846207468753674e-17,200,200,0,9960,wall-robot-navigation,0.7
7,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.7,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.6306917344455811,0.6306917344455811,0.5464574869656633,0.714925981925499,0.45260226064167036,0.9990597476073336,0.28193933976456487,4.2301231961694444e-17,200,200,0,9960,wall-robot-navigation,0.7
8,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.8,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.6301606891527145,0.6301606891527145,0.5464192586812782,0.713902119624151,0.45264048892605546,0.9990597476073336,0.2807816857078235,5.5164206536062467e-17,200,200,0,9960,wall-robot-navigation,0.7
9,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.9,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.629731429001537,0.629731429001537,0.546218686057002,0.713244171946072,0.45284106155033155,0.9990597476073336,0.27962403165108213,5.677749936872089e-17,200,200,0,9960,wall-robot-navigation,0.7
10,ok,hyb_grid,hyb_fpde_grid_validation,l1,1.0,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.6294283542131524,0.6294283542131524,0.5461995102655226,0.7126571981607822,0.45286023734181086,0.9990597476073336,0.27846637759434073,4.9964372916821984e-17,200,200,0,9960,wall-robot-navigation,0.7
