method,n_rows,mean_true_label,mean_pred_label,mean_target_label,mean_n_features,mean_n_train,mean_n_test,mean_runtime_seconds,mean_explanation_model_calls,mean_evaluation_model_calls,mean_total_model_calls,mean_n_model_calls,mean_number_of_model_calls,mean_background_size,mean_max_background,mean_test_accuracy,mean_test_balanced_accuracy,mean_p0,mean_deletion_auc,mean_deletion_drop_auc,mean_insertion_auc,mean_comprehensiveness,mean_sufficiency,mean_faithfulness_correlation,mean_faithfulness_delta_mean,mean_faithfulness_delta_abs_mean,mean_combined_score,mean_top_k_jaccard,n_datasets,n_seeds,status_ok,status_skipped,status_error,metric_direction
bayesian_hyb_fpde,2500,0.3888,0.3888,0.3888,21.4,802.0,89.4,0.051153654372002574,1.0,32.4,33.4,33.4,33.4,0.0,,0.8706783163442202,0.8199664059137743,0.8938568433585384,0.6746830496385963,0.2191737937199421,0.8435584972326664,0.2542386128482325,0.0,0.33405556580778883,0.04706469415753636,0.06652699009459788,0.5313661454763042,0.9953333333333334,5,10,2500,0,0,mixed
bootstrap_fpde,2500,0.3888,0.3888,0.3888,21.4,802.0,89.4,0.058944154578000556,50.0,32.4,82.4,82.4,82.4,0.0,,0.8706783163442202,0.8199664059137743,0.8938568433585384,0.6749652423026568,0.2188916010558817,0.8444915939247103,0.2542386128482325,0.0,0.30597809313670576,0.04706469415753636,0.06652699009459788,0.5316915974902959,0.9865333333333334,5,10,2500,0,0,mixed
hyb_fpde,2500,0.3888,0.3888,0.3888,21.4,802.0,89.4,0.0008575161012014581,1.0,32.4,33.4,33.4,33.4,0.0,,0.8706783163442202,0.8199664059137743,0.8938568433585384,0.6744162172686298,0.21944062608990872,0.8463288372525775,0.2542386128482325,0.0,0.3739768704753916,0.04706469415753636,0.06652699009459788,0.5328847316712431,1.0,5,10,2500,0,0,mixed
lime,2500,0.3888,0.3888,0.3888,21.4,802.0,89.4,0.029124422900397115,5000.0,32.4,5032.4,5032.4,5032.4,802.0,100.0,0.8706783163442202,0.8199664059137743,0.8938568433585384,0.6695954342457849,0.22426140911275347,0.8399132910247427,0.2542386128482325,0.0,0.42227626369485044,0.04706469415753636,0.06652699009459788,0.5320873500687481,0.6530650793650793,5,10,2500,0,0,mixed
shap,2500,0.3888,0.3888,0.3888,21.4,802.0,89.4,0.03546383438160251,101.0,32.4,133.4,133.4,133.4,100.0,100.0,0.8706783163442202,0.8199664059137743,0.8938568433585384,0.6344107355173169,0.2594461078412216,0.8628567305191401,0.2542386128482325,0.0,0.5161223940556728,0.04706469415753636,0.06652699009459788,0.5611514191801809,0.6682333333333333,5,10,2500,0,0,mixed
