method,dataset_name,task_id,seed,fold,split_id,mode,config_hash,experiment_config_hash,workflow_run_id,workflow_run_attempt,workflow_name,workflow_ref,workflow_sha,runner_invocation_hash,run_config_hash,job_config_hash,timestamp,git_commit,status,error_message,feature,feature_index,attribution,abs_attribution,ci_width,posterior_std,rank_probability_top_k,n_explained_instances
bayesian_hyb_fpde,banknote-authentication,10093,6,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.6787702212777497,0.7974478670290917,0.07114340572751537,0.018259512263347193,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,6,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.2894920575855111,0.5330443671591613,0.11289089351061175,0.028967908811185335,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,6,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.0414225382264359,0.15168763546646516,0.11159352340317884,0.02874388168329105,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,6,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,-0.0018838141327865968,0.03081716719653458,0.14629689447268085,0.037537347841489384,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,7,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.5327063168258269,0.6884727674958391,0.06059549931021038,0.015578621151918935,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,7,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.31817248247335767,0.508094456716741,0.10724535182458644,0.02759650641350965,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,7,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.014515062203958888,0.14116421489357486,0.10334561853965703,0.026802617717502506,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,7,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,-0.005791108562650516,0.031138420721842607,0.14598626265360987,0.03728997243724798,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,8,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.6633136882411769,0.7453385596905068,0.06537826026307482,0.01673223653575967,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,8,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.21985599692511276,0.43538402617447325,0.09219292724733258,0.02370401811750673,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,8,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.011731404328152268,0.16300107089030597,0.11900769301622917,0.030624926492749373,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,8,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,0.003476747075230606,0.030092125148776017,0.1407300022033642,0.036127621252142895,1.0,50
