method,dataset_name,task_id,seed,fold,split_id,mode,config_hash,experiment_config_hash,workflow_run_id,workflow_run_attempt,workflow_name,workflow_ref,workflow_sha,runner_invocation_hash,run_config_hash,job_config_hash,timestamp,git_commit,status,error_message,train_fraction,training_size,mean_posterior_std,mean_ci_width,median_ci_width,mean_sign_confidence,attribution_distance_to_full_train,top_k_jaccard_to_full_train,n_features,n_explained_instances,metric_direction,uncertainty_decrease_slope,uncertainty_decrease_rate
bayesian_hyb_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,train_fraction_0.1,ieee_full,da0454e88838,da0454e88838,27180949281,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,36d6fb7e69fd,36d6fb7e69fd,0c01db81ef42,2026-06-09T04:02:15+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,0.1,123,0.0892210856143293,0.34641180262418914,0.3720703422560516,0.92273,0.02772164215603874,1.0,4,50,lower_is_better_for_uncertainty_widths,-0.23835343972694614,0.23835343972694614
bayesian_hyb_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,train_fraction_0.25,ieee_full,da0454e88838,da0454e88838,27180949281,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,36d6fb7e69fd,36d6fb7e69fd,1da96b231d2c,2026-06-09T04:02:15+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,0.25,308,0.05974109961265253,0.2322635151059816,0.2514454952913702,0.98063,0.020061477373212525,1.0,4,50,lower_is_better_for_uncertainty_widths,-0.23835343972694614,0.23835343972694614
bayesian_hyb_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,train_fraction_0.5,ieee_full,da0454e88838,da0454e88838,27180949281,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,36d6fb7e69fd,36d6fb7e69fd,09f1fcc6d946,2026-06-09T04:02:15+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,0.5,616,0.04109743956848495,0.15996597016834757,0.1733884884385803,0.89731,0.019479713205105772,1.0,4,50,lower_is_better_for_uncertainty_widths,-0.23835343972694614,0.23835343972694614
bayesian_hyb_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,train_fraction_0.75,ieee_full,da0454e88838,da0454e88838,27180949281,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,36d6fb7e69fd,36d6fb7e69fd,c97cdbc437fc,2026-06-09T04:02:15+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,0.75,926,0.03376731434934799,0.13150574593251796,0.14223879077175844,0.91887,0.010936697731668011,1.0,4,50,lower_is_better_for_uncertainty_widths,-0.23835343972694614,0.23835343972694614
bayesian_hyb_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,train_fraction_1,ieee_full,da0454e88838,da0454e88838,27180949281,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,36d6fb7e69fd,36d6fb7e69fd,29c4786e8942,2026-06-09T04:02:15+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,1.0,1234,0.028960433806640422,0.11273900134416681,0.12274520876838488,0.95008,0.0,1.0,4,50,lower_is_better_for_uncertainty_widths,-0.23835343972694614,0.23835343972694614
bootstrap_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,train_fraction_0.1,ieee_full,da0454e88838,da0454e88838,27180949281,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,36d6fb7e69fd,36d6fb7e69fd,89884045e48e,2026-06-09T04:02:15+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,0.1,123,0.08601744874002988,0.31497258336901507,0.33609228198607244,0.9228999999999999,0.027640228526495347,1.0,4,50,lower_is_better_for_uncertainty_widths,-0.2223080858547625,0.2223080858547625
bootstrap_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,train_fraction_0.25,ieee_full,da0454e88838,da0454e88838,27180949281,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,36d6fb7e69fd,36d6fb7e69fd,845420508c3c,2026-06-09T04:02:15+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,0.25,308,0.06079965895217121,0.22189676223438043,0.24384729584548848,0.9775,0.01934176968738748,1.0,4,50,lower_is_better_for_uncertainty_widths,-0.2223080858547625,0.2223080858547625
bootstrap_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,train_fraction_0.5,ieee_full,da0454e88838,da0454e88838,27180949281,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,36d6fb7e69fd,36d6fb7e69fd,d30714d8d611,2026-06-09T04:02:15+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,0.5,616,0.040882840537075596,0.1472531111044525,0.15876735669253794,0.897,0.019204425087934317,1.0,4,50,lower_is_better_for_uncertainty_widths,-0.2223080858547625,0.2223080858547625
bootstrap_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,train_fraction_0.75,ieee_full,da0454e88838,da0454e88838,27180949281,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,36d6fb7e69fd,36d6fb7e69fd,aa9d4242ec85,2026-06-09T04:02:15+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,0.75,926,0.033544107823835594,0.12180136510920084,0.1309108092890776,0.9205,0.010634925143624201,1.0,4,50,lower_is_better_for_uncertainty_widths,-0.2223080858547625,0.2223080858547625
bootstrap_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,train_fraction_1,ieee_full,da0454e88838,da0454e88838,27180949281,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,36d6fb7e69fd,36d6fb7e69fd,fbf519778f18,2026-06-09T04:02:15+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,1.0,1234,0.028182091650876755,0.10133572771802837,0.11103864304350464,0.9472,0.0,1.0,4,50,lower_is_better_for_uncertainty_widths,-0.2223080858547625,0.2223080858547625
