method,dataset_name,task_id,seed,fold,split_id,mode,config_hash,experiment_config_hash,workflow_run_id,workflow_run_attempt,workflow_name,workflow_ref,workflow_sha,runner_invocation_hash,run_config_hash,job_config_hash,timestamp,git_commit,status,error_message,train_fraction,training_size,feature,feature_index,posterior_mean,posterior_std,ci_width,sign_confidence,n_explained_instances
bootstrap_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.25,308,num__V2,1,0.2336172337872662,0.048300507995249306,0.17267801353424198,1.0,50
bootstrap_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.25,308,num__V3,2,0.03636425820356086,0.047548674730918686,0.16879924313385683,1.0,50
bootstrap_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.25,308,num__V4,3,0.00374064892960009,0.069619088857308,0.25380007163499707,0.6884,50
bootstrap_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.5,616,num__V1,0,0.6733800621354621,0.024222776910743215,0.08699733148405456,1.0,50
bootstrap_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.5,616,num__V2,1,0.18790811365735802,0.03515589488361942,0.1271048442955998,1.0,50
bootstrap_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.5,616,num__V3,2,0.011391793144708453,0.035352717440152864,0.12926589357233964,1.0,50
bootstrap_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.5,616,num__V4,3,0.006799346960371937,0.04796450650004414,0.17341126368463808,0.7528,50
bootstrap_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.75,926,num__V1,0,0.6796368895412418,0.020701249062163835,0.07539788044996022,1.0,50
bootstrap_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.75,926,num__V2,1,0.21567668115513378,0.028036814921577533,0.10212722147949346,1.0,50
bootstrap_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.75,926,num__V3,2,0.014492177970081156,0.02783684355494173,0.10128876048897593,1.0,50
bootstrap_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.75,926,num__V4,3,0.005895338792123621,0.03890667820223557,0.13847025790976505,0.8756,50
bootstrap_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,1.0,1234,num__V1,0,0.6823469375606187,0.017682357308658626,0.06387765944013486,1.0,50
bootstrap_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,1.0,1234,num__V2,1,0.22074349169398716,0.02380139281506315,0.08505591744282186,1.0,50
bootstrap_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,1.0,1234,num__V3,2,0.016447674886617115,0.024039249251942764,0.08662279201247414,1.0,50
bootstrap_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,1.0,1234,num__V4,3,0.004939521275394377,0.034852885279190844,0.12371703089937097,0.7904000000000001,50
bayesian_hyb_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.1,123,num__V1,0,0.7121804371245541,0.05987264938660823,0.23154939366022803,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.1,123,num__V2,1,0.3330557299804454,0.09134788329717353,0.35484999417602486,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.1,123,num__V3,2,0.09016972411549619,0.10582853021156405,0.40995713232442527,0.94556,50
bayesian_hyb_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.1,123,num__V4,3,-0.00426715627874771,0.09983527956197141,0.3892906903360783,0.74536,50
