method,dataset_name,task_id,seed,fold,split_id,mode,config_hash,experiment_config_hash,workflow_run_id,workflow_run_attempt,workflow_name,workflow_ref,workflow_sha,runner_invocation_hash,run_config_hash,job_config_hash,timestamp,git_commit,status,error_message,feature,feature_index,posterior_mean,posterior_std,ci_lower_95,ci_upper_95,ci_width,p_positive,p_negative,sign_confidence,n_explained_instances,n_train,n_test
bayesian_hyb_fpde,banknote-authentication,10093,4,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,-0.0016788475725714202,0.02933304284097359,-0.05955412174646986,0.054779921073464584,0.11433404281993444,0.50928,0.49072000000000005,0.7988,50,1234,138
bayesian_hyb_fpde,banknote-authentication,10093,5,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.750431534680862,0.01998519303133115,0.7109731533737635,0.7887531829347049,0.07778002956094136,0.8,0.2,1.0,50,1234,138
bayesian_hyb_fpde,banknote-authentication,10093,5,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.2743125002730407,0.03201845552431661,0.2112645220576635,0.33622897745277597,0.12496445539511251,0.58,0.42,1.0,50,1234,138
bayesian_hyb_fpde,banknote-authentication,10093,5,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.056388193237504616,0.036153814069913144,-0.01368329625006572,0.12655080092190416,0.14023409717196988,0.5,0.5,1.0,50,1234,138
bayesian_hyb_fpde,banknote-authentication,10093,5,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,0.0017065635080182467,0.03730025263954191,-0.07120463319857423,0.07429157470113143,0.14549620789970566,0.5257999999999999,0.4742,0.79884,50,1234,138
bayesian_hyb_fpde,banknote-authentication,10093,6,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.6787702212777497,0.018259512263347193,0.6427170650460419,0.7138604707735571,0.07114340572751537,0.82,0.18,1.0,50,1234,138
bayesian_hyb_fpde,banknote-authentication,10093,6,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.2894920575855111,0.028967908811185335,0.23290812967735672,0.34579902318796846,0.11289089351061175,0.64,0.36,1.0,50,1234,138
bayesian_hyb_fpde,banknote-authentication,10093,6,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.0414225382264359,0.02874388168329105,-0.014634376544623417,0.09695914685855542,0.11159352340317884,0.48,0.52,1.0,50,1234,138
bayesian_hyb_fpde,banknote-authentication,10093,6,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,-0.0018838141327865968,0.037537347841489384,-0.07508096421709792,0.07121593025558293,0.14629689447268085,0.48628,0.51372,0.7994,50,1234,138
bayesian_hyb_fpde,banknote-authentication,10093,7,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.5327063168258269,0.015578621151918935,0.5022313268025862,0.5628268261127966,0.06059549931021038,0.78,0.22,1.0,50,1234,138
