method,n_rows,mean_n_seeds,mean_n_common_or_observed_features,mean_uncertainty_rank_correlation,mean_mean_spearman_between_seeds,mean_mean_pearson_between_seeds,mean_top_k_jaccard_between_seeds,mean_sign_agreement_between_seeds,mean_ci_width_stability,mean_mean_spearman_between_runs,mean_top_k_jaccard_between_runs,n_datasets,n_seeds,status_ok,status_skipped,status_error,metric_direction
bayesian_hyb_fpde,5,10.0,21.4,-0.3172260270106693,0.9003797239654201,0.9608424533729986,0.8958730158730159,0.8764632665452338,0.9112864364574277,0.9003797239654201,0.8958730158730159,5,1,5,0,0,mixed
bootstrap_fpde,5,10.0,21.4,-0.28659231916111144,0.9007763435650158,0.9603267270231294,0.8958730158730159,0.8775531268973893,0.8706275356693489,0.9007763435650158,0.8958730158730159,5,1,5,0,0,mixed
hyb_fpde,5,10.0,21.4,-0.586205107765676,0.9150468931130868,0.9611832412126591,0.8958730158730159,0.880388585306618,1.0,0.9150468931130868,0.8958730158730159,5,1,5,0,0,mixed
lime,5,10.0,21.4,-0.41681477988814003,0.8607264771498983,0.8132857244481826,0.9511111111111111,0.760899210686096,1.0,0.8607264771498983,0.9511111111111111,5,1,5,0,0,mixed
shap,5,10.0,21.4,-0.4286483290046448,0.9397179113346803,0.9741042696041046,0.9079365079365079,0.8895810564663023,1.0,0.9397179113346803,0.9079365079365079,5,1,5,0,0,mixed
