candidate_id,status,fpde_mode,method_variant,normalize,lambda_hyb,lambda_grid_mode,anchor_strategy,selection_objective,validation_metric_source,score,mean_combined_score,mean_deletion_drop_auc,mean_insertion_auc,mean_deletion_auc,mean_p0,mean_evidence,mean_exactness_abs_residual,n_eval_samples,n_success,n_error,task_id,dataset_name,selected_lambda
0,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.0,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.6239454249668425,0.6239454249668425,0.38561811483159686,0.8622727351020881,0.4016981828832186,0.7873162977148155,0.20908864759190848,7.601220964387817e-17,180,180,0,31,credit-g,1.0
1,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.1,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.6242292942373145,0.6242292942373145,0.3859096865222241,0.8625489019524049,0.40140661119259136,0.7873162977148155,0.21229132102544937,7.259817746962938e-17,180,180,0,31,credit-g,1.0
2,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.2,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.6244290601986735,0.6244290601986735,0.38635075154868515,0.862507368848662,0.4009655461661304,0.7873162977148155,0.21549399445899037,6.359689009983861e-17,180,180,0,31,credit-g,1.0
3,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.3,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.6243170154686871,0.6243170154686871,0.3866118864055267,0.8620221445318477,0.40070441130928885,0.7873162977148155,0.21869666789253128,6.378963715272493e-17,180,180,0,31,credit-g,1.0
4,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.4,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.6242613170351689,0.6242613170351689,0.3864908239419143,0.8620318101284234,0.4008254737729012,0.7873162977148155,0.22189934132607222,6.514609453741234e-17,180,180,0,31,credit-g,1.0
5,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.5,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.6245163747589806,0.6245163747589806,0.3868050818797899,0.8622276676381713,0.40051121583502564,0.7873162977148155,0.2251020147596132,5.733261088103347e-17,180,180,0,31,credit-g,1.0
6,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.6,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.6242955239236534,0.6242955239236534,0.38638627270921133,0.8622047751380955,0.40093002500560415,0.7873162977148155,0.2283046881931541,5.95323366220985e-17,180,180,0,31,credit-g,1.0
7,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.7,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.6243561164916068,0.6243561164916068,0.3865279803700271,0.8621842526131865,0.40078831734478837,0.7873162977148155,0.23150736162669502,6.803007231622379e-17,180,180,0,31,credit-g,1.0
8,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.8,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.6243733163399219,0.6243733163399219,0.3866112889448783,0.8621353437349655,0.4007050087699372,0.7873162977148155,0.234710035060236,6.904681302019908e-17,180,180,0,31,credit-g,1.0
9,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.9,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.6243841005676685,0.6243841005676685,0.3866176007464336,0.8621506003889032,0.40069869696838195,0.7873162977148155,0.23791270849377694,6.897453287536672e-17,180,180,0,31,credit-g,1.0
10,ok,hyb_grid,hyb_fpde_grid_validation,l1,1.0,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.6245448797101381,0.6245448797101381,0.3867617555464924,0.8623280038737836,0.4005545421683229,0.7873162977148155,0.2411153819273179,7.385223798247094e-17,180,180,0,31,credit-g,1.0
