method,mean_deletion_drop_auc,std_deletion_drop_auc,mean_insertion_auc,std_insertion_auc,mean_combined_score,std_combined_score,mean_runtime_seconds,std_runtime_seconds,completed_instances,completed_tasks,mean_test_accuracy,mean_test_balanced_accuracy
aime,0.6780511678381361,0.29096899551881633,0.781947792734468,0.21541272328515185,0.729999480286302,0.1820620623096162,0.048965028490004274,0.0117859746086294,200,1,0.9941747572815534,0.9944016082995982
cos_fpde,0.8122968690608645,0.2069033611622429,0.8066277011008305,0.18140500871942913,0.8094622850808474,0.12919609933808363,0.011374859430000299,0.0037088580732333293,200,1,0.9941747572815534,0.9944016082995982
diff_fpde,0.6920566824650686,0.29143015595206706,0.741351508097868,0.2227242304819082,0.7167040952814682,0.17436903564830708,0.020768900939999783,0.008870309882251027,200,1,0.9941747572815534,0.9944016082995982
hyb_fpde_grid,0.8122968690608645,0.2069033611622429,0.8066277011008305,0.18140500871942913,0.8094622850808474,0.12919609933808363,0.0386452420399992,0.0012635288607125968,200,1,0.9941747572815534,0.9944016082995982
lime,0.40486123720016776,0.306562921489249,0.48263457307059565,0.3680803672448952,0.4437479051353817,0.28932914195294995,0.21146479405499918,0.07517716816880571,200,1,0.9941747572815534,0.9944016082995982
shap,0.833872346942927,0.2679008957967342,0.9726133031009926,0.016515994473080883,0.9032428250219597,0.13024621648879614,0.28093637553500217,0.019247786106438847,200,1,0.9941747572815534,0.9944016082995982
