method,mean_deletion_drop_auc,std_deletion_drop_auc,mean_insertion_auc,std_insertion_auc,mean_combined_score,std_combined_score,mean_runtime_seconds,std_runtime_seconds,completed_instances,completed_tasks,mean_test_accuracy,mean_test_balanced_accuracy
aime,0.7501659635753952,0.21696061144071432,0.8964827708778478,0.03743401218190144,0.8233243672266215,0.11625590713142518,0.038924541614998136,0.008039187581441575,200,1,0.9435736677115988,0.9451659451659452
cos_fpde,0.7343418228232674,0.2289529714255439,0.8227435159335227,0.1255949170493886,0.778542669378395,0.14400798811860552,0.00998794940500062,0.0030063395457684016,200,1,0.9435736677115988,0.9451659451659452
diff_fpde,0.718640971337099,0.21708784785112273,0.8576015139159587,0.06188192987556615,0.7881212426265288,0.12053917038257478,0.020725526579999213,0.006945371797437565,200,1,0.9435736677115988,0.9451659451659452
hyb_fpde_grid,0.7249476644609417,0.22056860691357716,0.8581337523095682,0.06734510475009851,0.791540708385255,0.1254998696907598,0.01644982641500178,0.0012832641908370316,200,1,0.9435736677115988,0.9451659451659452
lime,0.137017111001329,0.066272623555594,0.2817254642614695,0.1751198795429833,0.20937128763139923,0.08727152376439229,0.14232090314000231,0.05873391232290085,200,1,0.9435736677115988,0.9451659451659452
shap,0.8059611451326346,0.17466946295587626,0.9355378167669905,0.036916443174520676,0.8707494809498126,0.09144615966888005,0.1756501762949992,0.014625626513912556,200,1,0.9435736677115988,0.9451659451659452
