candidate_id,status,fpde_mode,method_variant,normalize,lambda_hyb,lambda_grid_mode,anchor_strategy,selection_objective,validation_metric_source,score,mean_combined_score,mean_deletion_drop_auc,mean_insertion_auc,mean_deletion_auc,mean_p0,mean_evidence,mean_exactness_abs_residual,n_eval_samples,n_success,n_error,task_id,dataset_name,selected_lambda
0,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.0,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.5756888277190264,0.5756888277190264,0.26754197191213624,0.8838356835259166,0.6010656815109944,0.8686076534231304,0.289689416033186,8.652963328498187e-17,200,200,0,7592,adult,0.0
1,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.1,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.5749803972828219,0.5749803972828219,0.26652294258106735,0.8834378519845763,0.6020847108420633,0.8686076534231304,0.30120481261216336,8.174233859237213e-17,200,200,0,7592,adult,0.0
2,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.2,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.575033694508992,0.575033694508992,0.2665168109896215,0.8835505780283625,0.602090842433509,0.8686076534231304,0.3127202091911406,8.226655034276886e-17,200,200,0,7592,adult,0.0
3,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.3,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.5749237305945298,0.5749237305945298,0.26632625580992786,0.8835212053791319,0.6022813976132028,0.8686076534231304,0.32423560577011784,7.48744599307627e-17,200,200,0,7592,adult,0.0
4,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.4,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.574915190415144,0.574915190415144,0.26632321203086057,0.8835071687994277,0.60228444139227,0.8686076534231304,0.3357510023490951,8.142575155800635e-17,200,200,0,7592,adult,0.0
5,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.5,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.57491815595276,0.57491815595276,0.2663072789052926,0.8835290330002272,0.602300374517838,0.8686076534231304,0.34726639892807243,7.835095419683746e-17,200,200,0,7592,adult,0.0
6,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.6,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.5749606550189994,0.5749606550189994,0.26664057295562016,0.8832807370823785,0.6019670804675105,0.8686076534231304,0.3587817955070497,6.765855237178541e-17,200,200,0,7592,adult,0.0
7,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.7,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.5751601670920601,0.5751601670920601,0.2669221520632676,0.8833981821208527,0.6016855013598631,0.8686076534231304,0.3702971920860269,8.564112960462999e-17,200,200,0,7592,adult,0.0
8,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.8,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.5751769660244048,0.5751769660244048,0.2669336135416033,0.8834203185072065,0.6016740398815273,0.8686076534231304,0.3818125886650043,8.193153187147084e-17,200,200,0,7592,adult,0.0
9,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.9,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.5750338541346727,0.5750338541346727,0.2669034234505564,0.8831642848187888,0.6017042299725742,0.8686076534231304,0.3933279852439815,8.219119829178112e-17,200,200,0,7592,adult,0.0
10,ok,hyb_grid,hyb_fpde_grid_validation,l1,1.0,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.5751420741463705,0.5751420741463705,0.267113365012563,0.883170783280178,0.6014942884105675,0.8686076534231304,0.4048433818229588,7.850057409664046e-17,200,200,0,7592,adult,0.0
