candidate_id,status,fpde_mode,method_variant,normalize,lambda_hyb,lambda_grid_mode,anchor_strategy,selection_objective,validation_metric_source,score,mean_combined_score,mean_deletion_drop_auc,mean_insertion_auc,mean_deletion_auc,mean_p0,mean_evidence,mean_exactness_abs_residual,n_eval_samples,n_success,n_error,task_id,dataset_name,selected_lambda
0,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.0,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.4667718805051036,0.4667718805051036,0.10036323808558557,0.8331805229246214,0.6856623324763493,0.7860255705619349,0.08384829208247808,7.738518820452728e-17,105,105,0,9971,ilpd,0.2
1,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.1,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.4667621181605232,0.4667621181605232,0.10033112336945525,0.8331931129515909,0.6856944471924796,0.7860255705619349,0.09162841124339588,7.887209404107883e-17,105,105,0,9971,ilpd,0.2
2,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.2,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.4673736877025811,0.4673736877025811,0.10099392151961627,0.833753453885546,0.6850316490423187,0.7860255705619349,0.09940853040431369,7.180103072947813e-17,105,105,0,9971,ilpd,0.2
3,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.3,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.4669366425057051,0.4669366425057051,0.1001418617438837,0.8337314232675267,0.6858837088180513,0.7860255705619349,0.10718864956523144,6.667946618135613e-17,105,105,0,9971,ilpd,0.2
4,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.4,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.46674834984871366,0.46674834984871366,0.09968933813428663,0.8338073615631405,0.6863362324276483,0.7860255705619349,0.11496876872614929,7.325489421410631e-17,105,105,0,9971,ilpd,0.2
5,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.5,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.46710394779147807,0.46710394779147807,0.09967271666078295,0.8345351789221732,0.6863528539011521,0.7860255705619349,0.12274888788706707,7.999553400647333e-17,105,105,0,9971,ilpd,0.2
6,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.6,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.46678611469911707,0.46678611469911707,0.09906660093012037,0.8345056284681138,0.6869589696318147,0.7860255705619349,0.1305290070479849,7.854167052184516e-17,105,105,0,9971,ilpd,0.2
7,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.7,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.46674871452892586,0.46674871452892586,0.09853413936791325,0.8349632896899385,0.6874914311940217,0.7860255705619349,0.1383091262089027,7.038020959677331e-17,105,105,0,9971,ilpd,0.2
8,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.8,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.4665939375168216,0.4665939375168216,0.09835706945893538,0.8348308055747078,0.6876685011029997,0.7860255705619349,0.14608924536982054,6.026924990822278e-17,105,105,0,9971,ilpd,0.2
9,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.9,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.4665465491797931,0.4665465491797931,0.09818489302423819,0.8349082053353479,0.6878406775376968,0.7860255705619349,0.1538693645307383,7.989640695070323e-17,105,105,0,9971,ilpd,0.2
10,ok,hyb_grid,hyb_fpde_grid_validation,l1,1.0,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.4666609858288391,0.4666609858288391,0.09846162784164084,0.8348603438160374,0.6875639427202941,0.7860255705619349,0.16164948369165613,7.636087529490288e-17,105,105,0,9971,ilpd,0.2
