lambda,count,percentage
0.0,308,42.77777777777778
0.1,53,7.361111111111112
0.2,30,4.166666666666666
0.3,21,2.9166666666666665
0.4,21,2.9166666666666665
0.5,36,5.0
0.6,22,3.0555555555555554
0.7,29,4.027777777777778
0.8,30,4.166666666666666
0.9,37,5.138888888888888
1.0,133,18.47222222222222
