task_id,dataset_name,method,deletion_drop_auc,insertion_auc,combined_score,runtime_seconds,attr_l1_norm,mean_abs_exactness_residual,test_accuracy,test_balanced_accuracy,n_features_transformed,n_classes,ok,seed,run_folder,method_display,dataset_name_mapped,subject_area,subject_subarea
10093,banknote-authentication,shap,0.3210159459128913,0.723020293635026,0.5220181197739586,0.0626432195289852,6.7397159594558,,0.9855072463768116,0.987012987012987,4,2,138,3,fpde-openml-task-10093-seed-3-7038922087\experimental_outputs_aime_full_n200_seed3_task10093,SHAP,banknote-authentication,Computer Science / Computer Vision,Image-derived authentication
10093,banknote-authentication,aime,0.3755190951274262,0.8492386664109747,0.6123788807692004,0.0043634271956527,1.7279012002492429,,0.9927536231884058,0.9935064935064934,4,2,138,4,fpde-openml-task-10093-seed-4-7038937081\experimental_outputs_aime_full_n200_seed4_task10093,AIME,banknote-authentication,Computer Science / Computer Vision,Image-derived authentication
10093,banknote-authentication,hyb_fpde_grid,0.3823270315865999,0.8528412571439737,0.6175841443652867,0.0053167078623222,0.9997204323910488,6.788048384257071e-17,0.9927536231884058,0.9935064935064934,4,2,138,4,fpde-openml-task-10093-seed-4-7038937081\experimental_outputs_aime_full_n200_seed4_task10093,Hyb-FPDE,banknote-authentication,Computer Science / Computer Vision,Image-derived authentication
10093,banknote-authentication,lime,0.2160469702456641,0.7155250082963098,0.4657859892709869,0.0199079951449235,0.6601596580008224,,0.9927536231884058,0.9935064935064934,4,2,138,4,fpde-openml-task-10093-seed-4-7038937081\experimental_outputs_aime_full_n200_seed4_task10093,LIME,banknote-authentication,Computer Science / Computer Vision,Image-derived authentication
10093,banknote-authentication,shap,0.3153581943085308,0.7234542288657725,0.5194062115871516,0.0632596325434756,6.497042062304327,,0.9927536231884058,0.9935064935064934,4,2,138,4,fpde-openml-task-10093-seed-4-7038937081\experimental_outputs_aime_full_n200_seed4_task10093,SHAP,banknote-authentication,Computer Science / Computer Vision,Image-derived authentication
10093,banknote-authentication,aime,0.3751133231813327,0.8530519330774269,0.6140826281293799,0.0043735822826089,1.7225069257170045,,0.9855072463768116,0.987012987012987,4,2,138,5,fpde-openml-task-10093-seed-5-7038931242\experimental_outputs_aime_full_n200_seed5_task10093,AIME,banknote-authentication,Computer Science / Computer Vision,Image-derived authentication
10093,banknote-authentication,hyb_fpde_grid,0.3788684543732844,0.8528587945049834,0.6158636244391339,0.0053282902029025,0.9993690852201162,6.997975065770207e-17,0.9855072463768116,0.987012987012987,4,2,138,5,fpde-openml-task-10093-seed-5-7038931242\experimental_outputs_aime_full_n200_seed5_task10093,Hyb-FPDE,banknote-authentication,Computer Science / Computer Vision,Image-derived authentication
10093,banknote-authentication,lime,0.2194835738517423,0.7153314604430101,0.4674075171473761,0.0199252922318794,0.6608404209068693,,0.9855072463768116,0.987012987012987,4,2,138,5,fpde-openml-task-10093-seed-5-7038931242\experimental_outputs_aime_full_n200_seed5_task10093,LIME,banknote-authentication,Computer Science / Computer Vision,Image-derived authentication
10093,banknote-authentication,shap,0.3259737082468207,0.7136969575879295,0.519835332917375,0.0623267615362354,6.395400734797645,,0.9855072463768116,0.987012987012987,4,2,138,5,fpde-openml-task-10093-seed-5-7038931242\experimental_outputs_aime_full_n200_seed5_task10093,SHAP,banknote-authentication,Computer Science / Computer Vision,Image-derived authentication
10093,banknote-authentication,aime,0.3630676136177974,0.8467135179923156,0.6048905658050565,0.004421332318839,1.7704627002239783,,0.9927536231884058,0.9935064935064934,4,2,138,6,fpde-openml-task-10093-seed-6-7038937074\experimental_outputs_aime_full_n200_seed6_task10093,AIME,banknote-authentication,Computer Science / Computer Vision,Image-derived authentication
10093,banknote-authentication,hyb_fpde_grid,0.3719137458866055,0.8487750948364206,0.610344420361513,0.0053566495289866,1.0,6.15449720172641e-17,0.9927536231884058,0.9935064935064934,4,2,138,6,fpde-openml-task-10093-seed-6-7038937074\experimental_outputs_aime_full_n200_seed6_task10093,Hyb-FPDE,banknote-authentication,Computer Science / Computer Vision,Image-derived authentication
10093,banknote-authentication,lime,0.2061773104816168,0.7084799223330565,0.4573286164073366,0.0202139098913044,0.6672022770391313,,0.9927536231884058,0.9935064935064934,4,2,138,6,fpde-openml-task-10093-seed-6-7038937074\experimental_outputs_aime_full_n200_seed6_task10093,LIME,banknote-authentication,Computer Science / Computer Vision,Image-derived authentication
10093,banknote-authentication,shap,0.3214528184270954,0.7173035615025528,0.5193781899648241,0.0633114354130436,6.38053881161182,,0.9927536231884058,0.9935064935064934,4,2,138,6,fpde-openml-task-10093-seed-6-7038937074\experimental_outputs_aime_full_n200_seed6_task10093,SHAP,banknote-authentication,Computer Science / Computer Vision,Image-derived authentication
10093,banknote-authentication,aime,0.3637715897661078,0.8454956178169947,0.6046336037915513,0.0048763169782606,1.7938659665204668,,0.9927536231884058,0.9935064935064934,4,2,138,7,fpde-openml-task-10093-seed-7-7038898467\experimental_outputs_aime_full_n200_seed7_task10093,AIME,banknote-authentication,Computer Science / Computer Vision,Image-derived authentication
10093,banknote-authentication,hyb_fpde_grid,0.3694656582898032,0.8467574793383061,0.6081115688140547,0.0060319373913051,0.999302555581513,6.970320053834344e-17,0.9927536231884058,0.9935064935064934,4,2,138,7,fpde-openml-task-10093-seed-7-7038898467\experimental_outputs_aime_full_n200_seed7_task10093,Hyb-FPDE,banknote-authentication,Computer Science / Computer Vision,Image-derived authentication
10093,banknote-authentication,lime,0.2409387338625771,0.7320692205526041,0.4865039772075907,0.0228803115797095,0.6563009723579067,,0.9927536231884058,0.9935064935064934,4,2,138,7,fpde-openml-task-10093-seed-7-7038898467\experimental_outputs_aime_full_n200_seed7_task10093,LIME,banknote-authentication,Computer Science / Computer Vision,Image-derived authentication
10093,banknote-authentication,shap,0.3084969955172797,0.7048887628640532,0.5066928791906664,0.0637327702246377,6.354193783086504,,0.9927536231884058,0.9935064935064934,4,2,138,7,fpde-openml-task-10093-seed-7-7038898467\experimental_outputs_aime_full_n200_seed7_task10093,SHAP,banknote-authentication,Computer Science / Computer Vision,Image-derived authentication
10093,banknote-authentication,aime,0.3698272023187358,0.8441056711230878,0.6069664367209118,0.0049345683840586,1.7297526280754676,,0.9927536231884058,0.9935064935064934,4,2,138,8,fpde-openml-task-10093-seed-8-7038906864\experimental_outputs_aime_full_n200_seed8_task10093,AIME,banknote-authentication,Computer Science / Computer Vision,Image-derived authentication
10093,banknote-authentication,hyb_fpde_grid,0.3780682301005522,0.8448653267706298,0.6114667784355909,0.0060501300144927,1.0,6.451160057038388e-17,0.9927536231884058,0.9935064935064934,4,2,138,8,fpde-openml-task-10093-seed-8-7038906864\experimental_outputs_aime_full_n200_seed8_task10093,Hyb-FPDE,banknote-authentication,Computer Science / Computer Vision,Image-derived authentication
10093,banknote-authentication,lime,0.2544669328087165,0.7329094838834959,0.4936882083461061,0.0230636836449306,0.6568208372256399,,0.9927536231884058,0.9935064935064934,4,2,138,8,fpde-openml-task-10093-seed-8-7038906864\experimental_outputs_aime_full_n200_seed8_task10093,LIME,banknote-authentication,Computer Science / Computer Vision,Image-derived authentication
10093,banknote-authentication,shap,0.3100388451161863,0.7084248008007058,0.5092318229584459,0.0661104889130473,6.590243085214155,,0.9927536231884058,0.9935064935064934,4,2,138,8,fpde-openml-task-10093-seed-8-7038906864\experimental_outputs_aime_full_n200_seed8_task10093,SHAP,banknote-authentication,Computer Science / Computer Vision,Image-derived authentication
10093,banknote-authentication,aime,0.3746567145152452,0.8515041675542727,0.613080441034759,0.0044055091304348,1.7863444505133004,,0.9927536231884058,0.9935064935064934,4,2,138,9,fpde-openml-task-10093-seed-9-7038940471\experimental_outputs_aime_full_n200_seed9_task10093,AIME,banknote-authentication,Computer Science / Computer Vision,Image-derived authentication
10093,banknote-authentication,hyb_fpde_grid,0.3752907107925477,0.8503997824350247,0.6128452466137863,0.0053249593478266,0.9995810895465224,6.14066969575848e-17,0.9927536231884058,0.9935064935064934,4,2,138,9,fpde-openml-task-10093-seed-9-7038940471\experimental_outputs_aime_full_n200_seed9_task10093,Hyb-FPDE,banknote-authentication,Computer Science / Computer Vision,Image-derived authentication
10093,banknote-authentication,lime,0.2259350699216989,0.7201282518562792,0.473031660888989,0.0200688781521746,0.664833928249453,,0.9927536231884058,0.9935064935064934,4,2,138,9,fpde-openml-task-10093-seed-9-7038940471\experimental_outputs_aime_full_n200_seed9_task10093,LIME,banknote-authentication,Computer Science / Computer Vision,Image-derived authentication
10093,banknote-authentication,shap,0.3199047002018119,0.7029354748470162,0.5114200875244141,0.0626353924492748,6.446179670925144,,0.9927536231884058,0.9935064935064934,4,2,138,9,fpde-openml-task-10093-seed-9-7038940471\experimental_outputs_aime_full_n200_seed9_task10093,SHAP,banknote-authentication,Computer Science / Computer Vision,Image-derived authentication
10101,blood-transfusion-service-center,aime,0.1350016922397395,0.8651812084966733,0.5000914503682065,0.0046570401466664,2.3006275471432605,,0.7733333333333333,0.6038011695906433,4,2,75,1,fpde-openml-task-10101-seed-1-7038933644\experimental_outputs_aime_full_n200_seed1_task10101,AIME,blood-transfusion-service-center,Business,Donation behavior and service analytics
10101,blood-transfusion-service-center,hyb_fpde_grid,0.1313198687675566,0.8680951485339808,0.4997075086507687,0.0057569127866671,0.9948663748074006,6.661338147750939e-17,0.7733333333333333,0.6038011695906433,4,2,75,1,fpde-openml-task-10101-seed-1-7038933644\experimental_outputs_aime_full_n200_seed1_task10101,Hyb-FPDE,blood-transfusion-service-center,Business,Donation behavior and service analytics
10101,blood-transfusion-service-center,lime,-0.0288341473267472,0.7132829496995925,0.3422244011864226,0.0224252171333328,0.2554439714285926,,0.7733333333333333,0.6038011695906433,4,2,75,1,fpde-openml-task-10101-seed-1-7038933644\experimental_outputs_aime_full_n200_seed1_task10101,LIME,blood-transfusion-service-center,Business,Donation behavior and service analytics
10101,blood-transfusion-service-center,shap,0.0107212446343721,0.7456166788222613,0.3781689617283167,0.03591500164,2.1775238042244878,,0.7733333333333333,0.6038011695906433,4,2,75,1,fpde-openml-task-10101-seed-1-7038933644\experimental_outputs_aime_full_n200_seed1_task10101,SHAP,blood-transfusion-service-center,Business,Donation behavior and service analytics
10101,blood-transfusion-service-center,aime,0.135923402930514,0.8079967769982995,0.4719600899644067,0.0043697428666685,2.319563946171432,,0.7866666666666666,0.6505847953216374,4,2,75,10,fpde-openml-task-10101-seed-10-7038943764\experimental_outputs_aime_full_n200_seed10_task10101,AIME,blood-transfusion-service-center,Business,Donation behavior and service analytics
10101,blood-transfusion-service-center,hyb_fpde_grid,0.132542865497507,0.808207778072651,0.4703753217850789,0.005170849760002,0.9927691642764916,5.5141076889716106e-17,0.7866666666666666,0.6505847953216374,4,2,75,10,fpde-openml-task-10101-seed-10-7038943764\experimental_outputs_aime_full_n200_seed10_task10101,Hyb-FPDE,blood-transfusion-service-center,Business,Donation behavior and service analytics
10101,blood-transfusion-service-center,lime,0.0141080949266601,0.6817935418664217,0.3479508183965409,0.0199347822266706,0.2802050611355448,,0.7866666666666666,0.6505847953216374,4,2,75,10,fpde-openml-task-10101-seed-10-7038943764\experimental_outputs_aime_full_n200_seed10_task10101,LIME,blood-transfusion-service-center,Business,Donation behavior and service analytics
10101,blood-transfusion-service-center,shap,0.0307210420924788,0.7043772801851351,0.367549161138807,0.0359566269599993,1.880582808444236,,0.7866666666666666,0.6505847953216374,4,2,75,10,fpde-openml-task-10101-seed-10-7038943764\experimental_outputs_aime_full_n200_seed10_task10101,SHAP,blood-transfusion-service-center,Business,Donation behavior and service analytics
10101,blood-transfusion-service-center,aime,0.1307436106913366,0.8336630937561844,0.4822033522237605,0.0047927860399977,2.1920910998455647,,0.7866666666666666,0.631578947368421,4,2,75,2,fpde-openml-task-10101-seed-2-7038935328\experimental_outputs_aime_full_n200_seed2_task10101,AIME,blood-transfusion-service-center,Business,Donation behavior and service analytics
10101,blood-transfusion-service-center,hyb_fpde_grid,0.1313486367256305,0.8390056894364629,0.4851771630810467,0.0057822990133324,1.0,6.314393452555578e-17,0.7866666666666666,0.631578947368421,4,2,75,2,fpde-openml-task-10101-seed-2-7038935328\experimental_outputs_aime_full_n200_seed2_task10101,Hyb-FPDE,blood-transfusion-service-center,Business,Donation behavior and service analytics
10101,blood-transfusion-service-center,lime,-0.0053263413606597,0.6971323496983094,0.3459030041688248,0.0227716925866661,0.2159716176301122,,0.7866666666666666,0.631578947368421,4,2,75,2,fpde-openml-task-10101-seed-2-7038935328\experimental_outputs_aime_full_n200_seed2_task10101,LIME,blood-transfusion-service-center,Business,Donation behavior and service analytics
10101,blood-transfusion-service-center,shap,0.0146985981884685,0.7134701595805147,0.3640843788844917,0.036324712240001,1.9009570466738903,,0.7866666666666666,0.631578947368421,4,2,75,2,fpde-openml-task-10101-seed-2-7038935328\experimental_outputs_aime_full_n200_seed2_task10101,SHAP,blood-transfusion-service-center,Business,Donation behavior and service analytics
10101,blood-transfusion-service-center,aime,0.1174568700563592,0.8294088175747043,0.4734328438155318,0.0042955944799935,2.3105427160576872,,0.7733333333333333,0.6228070175438596,4,2,75,3,fpde-openml-task-10101-seed-3-7038935592\experimental_outputs_aime_full_n200_seed3_task10101,AIME,blood-transfusion-service-center,Business,Donation behavior and service analytics
10101,blood-transfusion-service-center,hyb_fpde_grid,0.1379922092320095,0.8355185661891337,0.4867553877105716,0.0051441071600038,0.9976437561514832,6.402286108671736e-17,0.7733333333333333,0.6228070175438596,4,2,75,3,fpde-openml-task-10101-seed-3-7038935592\experimental_outputs_aime_full_n200_seed3_task10101,Hyb-FPDE,blood-transfusion-service-center,Business,Donation behavior and service analytics
10101,blood-transfusion-service-center,lime,-0.0048774974121753,0.6966818191947315,0.345902160891278,0.0196575854266726,0.2484598054324784,,0.7733333333333333,0.6228070175438596,4,2,75,3,fpde-openml-task-10101-seed-3-7038935592\experimental_outputs_aime_full_n200_seed3_task10101,LIME,blood-transfusion-service-center,Business,Donation behavior and service analytics
10101,blood-transfusion-service-center,shap,0.0114698371017852,0.7051483574859287,0.358309097293857,0.0353956201466689,1.857228341594633,,0.7733333333333333,0.6228070175438596,4,2,75,3,fpde-openml-task-10101-seed-3-7038935592\experimental_outputs_aime_full_n200_seed3_task10101,SHAP,blood-transfusion-service-center,Business,Donation behavior and service analytics
10101,blood-transfusion-service-center,aime,0.1236261513480347,0.860356540145361,0.4919913457466978,0.0049209064933336,2.362593869320962,,0.7866666666666666,0.631578947368421,4,2,75,4,fpde-openml-task-10101-seed-4-7038950158\experimental_outputs_aime_full_n200_seed4_task10101,AIME,blood-transfusion-service-center,Business,Donation behavior and service analytics
10101,blood-transfusion-service-center,hyb_fpde_grid,0.1221206651598618,0.8571954534096039,0.489658059284733,0.0057847297866658,1.0,5.810167162204986e-17,0.7866666666666666,0.631578947368421,4,2,75,4,fpde-openml-task-10101-seed-4-7038950158\experimental_outputs_aime_full_n200_seed4_task10101,Hyb-FPDE,blood-transfusion-service-center,Business,Donation behavior and service analytics
10101,blood-transfusion-service-center,lime,-0.0127305007185125,0.7192486696687352,0.3532590844751114,0.0228429586666694,0.2510172094867323,,0.7866666666666666,0.631578947368421,4,2,75,4,fpde-openml-task-10101-seed-4-7038950158\experimental_outputs_aime_full_n200_seed4_task10101,LIME,blood-transfusion-service-center,Business,Donation behavior and service analytics
10101,blood-transfusion-service-center,shap,-0.0035141849002925,0.739540649235374,0.3680132321675407,0.0379438340666649,1.883853053762904,,0.7866666666666666,0.631578947368421,4,2,75,4,fpde-openml-task-10101-seed-4-7038950158\experimental_outputs_aime_full_n200_seed4_task10101,SHAP,blood-transfusion-service-center,Business,Donation behavior and service analytics
10101,blood-transfusion-service-center,aime,0.1459529117055135,0.8523433439853039,0.4991481278454087,0.0043692282666692,2.187673136193071,,0.8,0.6593567251461988,4,2,75,5,fpde-openml-task-10101-seed-5-7038939557\experimental_outputs_aime_full_n200_seed5_task10101,AIME,blood-transfusion-service-center,Business,Donation behavior and service analytics
