subject_area,subject_subarea,task_id,dataset_name_mapped,method_display,combined_mean,combined_sd,lambda_mean,lambda_sd
Biology,Genomics and molecular biology,45,splice,AIME,0.8061687450314672,0.015717553989509477,0.75,0.09718253158075503
Biology,Genomics and molecular biology,45,splice,Hyb-FPDE,0.7808852300814967,0.015204299739865496,0.75,0.09718253158075503
Biology,Genomics and molecular biology,45,splice,LIME,0.20920055157001075,0.006174184776486579,0.75,0.09718253158075503
Biology,Genomics and molecular biology,45,splice,SHAP,0.8616412956857357,0.00896003274202784,0.75,0.09718253158075503
Biology,Genomics and molecular biology,167140,dna,AIME,0.7372727115062804,0.003623610579719525,0.25,0.21213203435596423
Biology,Genomics and molecular biology,167140,dna,Hyb-FPDE,0.7237758118936779,0.0038308107230358057,0.25,0.21213203435596423
Biology,Genomics and molecular biology,167140,dna,LIME,0.3019855731866101,0.004708705016829251,0.25,0.21213203435596423
Biology,Genomics and molecular biology,167140,dna,SHAP,0.7384106740578158,0.0036626071428251332,0.25,0.21213203435596423
Biology,Molecular bioactivity,9910,Bioresponse,AIME,0.6534828044290069,0.02133273260212729,0.43,0.4137900702315393
Biology,Molecular bioactivity,9910,Bioresponse,Hyb-FPDE,0.6627219315433452,0.02051380247401047,0.43,0.4137900702315393
Biology,Molecular bioactivity,9910,Bioresponse,LIME,0.3207995022232271,0.05070047492823263,0.43,0.4137900702315393
Biology,Molecular bioactivity,9910,Bioresponse,SHAP,0.44069889812478513,0.02933961426374034,0.43,0.4137900702315393
Biology,Plant disease and remote sensing,146820,wilt,AIME,0.5890564412467765,0.008549845690773328,0.07,0.08232726023485647
Biology,Plant disease and remote sensing,146820,wilt,Hyb-FPDE,0.589241700397582,0.008844488612922231,0.07,0.08232726023485647
Biology,Plant disease and remote sensing,146820,wilt,LIME,0.35877777360388097,0.015964531952390174,0.07,0.08232726023485647
Biology,Plant disease and remote sensing,146820,wilt,SHAP,0.35903893180123747,0.016997479260232134,0.07,0.08232726023485647
Biology,Protein expression,146800,MiceProtein,AIME,0.7947290631556874,0.007587065013553131,0.0,0.0
Biology,Protein expression,146800,MiceProtein,Hyb-FPDE,0.7417058087815861,0.009977018930704993,0.0,0.0
Biology,Protein expression,146800,MiceProtein,LIME,0.4102417059476817,0.01775736773249774,0.0,0.0
Biology,Protein expression,146800,MiceProtein,SHAP,0.8665483833200966,0.007949504347858058,0.0,0.0
Business,Credit and finance,29,credit-approval,AIME,0.6832023874869718,0.01596093187436914,0.44000000000000006,0.44771022374348846
Business,Credit and finance,29,credit-approval,Hyb-FPDE,0.6775072038243395,0.013321899396191179,0.44000000000000006,0.44771022374348846
Business,Credit and finance,29,credit-approval,LIME,0.22385450075540078,0.014636848534315603,0.44000000000000006,0.44771022374348846
Business,Credit and finance,29,credit-approval,SHAP,0.39983761780321936,0.014103590293900126,0.44000000000000006,0.44771022374348846
Business,Credit and finance,31,credit-g,AIME,0.6144707509030239,0.02503807106092186,0.5900000000000001,0.41486276177925524
Business,Credit and finance,31,credit-g,Hyb-FPDE,0.6051714186178652,0.023685710219810904,0.5900000000000001,0.41486276177925524
Business,Credit and finance,31,credit-g,LIME,0.18183267404300846,0.03342060776538541,0.5900000000000001,0.41486276177925524
Business,Credit and finance,31,credit-g,SHAP,0.48520984287594376,0.021256717703397713,0.5900000000000001,0.41486276177925524
Business,Donation behavior and service analytics,10101,blood-transfusion-service-center,AIME,0.4831267777801882,0.013556592041450844,0.55,0.38369548110737794
Business,Donation behavior and service analytics,10101,blood-transfusion-service-center,Hyb-FPDE,0.48235259975575867,0.013125133069125485,0.55,0.38369548110737794
Business,Donation behavior and service analytics,10101,blood-transfusion-service-center,LIME,0.33712602052960083,0.012342478569390658,0.55,0.38369548110737794
Business,Donation behavior and service analytics,10101,blood-transfusion-service-center,SHAP,0.3634233368586183,0.008515472659232333,0.55,0.38369548110737794
Business,Energy market systems,219,electricity,AIME,0.5358952585834444,0.014101266243024884,0.04,0.06992058987801011
Business,Energy market systems,219,electricity,Hyb-FPDE,0.5269374149093771,0.018942245988224148,0.04,0.06992058987801011
Business,Energy market systems,219,electricity,LIME,0.28012951024450483,0.007974358221283869,0.04,0.06992058987801011
Business,Energy market systems,219,electricity,SHAP,0.3388139892497431,0.011960938712748583,0.04,0.06992058987801011
Business,Financial market prediction,167120,numerai28.6,AIME,0.27807197765881864,0.001973377570817886,0.49000000000000005,0.21317702607092645
Business,Financial market prediction,167120,numerai28.6,Hyb-FPDE,0.27885888157994526,0.001915682028601299,0.49000000000000005,0.21317702607092645
Business,Financial market prediction,167120,numerai28.6,LIME,0.26678629386305186,0.002365948471810377,0.49000000000000005,0.21317702607092645
Business,Financial market prediction,167120,numerai28.6,SHAP,0.2660290733692442,0.002238557299240267,0.49000000000000005,0.21317702607092645
Business,Industry and economic activity text classification,9981,cnae-9,AIME,0.8497121199942285,0.012944980544451158,0.6900000000000001,0.4771442828607157
Business,Industry and economic activity text classification,9981,cnae-9,Hyb-FPDE,0.60003246580561,0.04510328618022735,0.6900000000000001,0.4771442828607157
Business,Industry and economic activity text classification,9981,cnae-9,LIME,0.37258482826696865,0.046088327743333095,0.6900000000000001,0.4771442828607157
Business,Industry and economic activity text classification,9981,cnae-9,SHAP,0.6651323762871324,0.06371858643658906,0.6900000000000001,0.4771442828607157
Business,"Marketing, sales, and customer analytics",14965,bank-marketing,AIME,0.6742048393406204,0.01373754292813261,0.99,0.0316227766016838
Business,"Marketing, sales, and customer analytics",14965,bank-marketing,Hyb-FPDE,0.6357671568493244,0.014414688817693576,0.99,0.0316227766016838
Business,"Marketing, sales, and customer analytics",14965,bank-marketing,LIME,0.18985890363324961,0.005366035286582968,0.99,0.0316227766016838
Business,"Marketing, sales, and customer analytics",14965,bank-marketing,SHAP,0.22385836523791416,0.010519465211231949,0.99,0.0316227766016838
Business,"Marketing, sales, and customer analytics",125920,dresses-sales,AIME,0.5887765765137003,0.023112848708260376,0.6900000000000001,0.2024845673131659
Business,"Marketing, sales, and customer analytics",125920,dresses-sales,Hyb-FPDE,0.5942336896669932,0.01956648518622722,0.6900000000000001,0.2024845673131659
Business,"Marketing, sales, and customer analytics",125920,dresses-sales,LIME,0.13714140357942411,0.020965907333150232,0.6900000000000001,0.2024845673131659
Business,"Marketing, sales, and customer analytics",125920,dresses-sales,SHAP,0.27895387389134524,0.017423458642214024,0.6900000000000001,0.2024845673131659
Business,"Marketing, sales, and customer analytics",167141,churn,AIME,0.4659761550850317,0.013686630921058245,0.64,0.4060651288757616
Business,"Marketing, sales, and customer analytics",167141,churn,Hyb-FPDE,0.42498797228234686,0.012204988700562146,0.64,0.4060651288757616
Business,"Marketing, sales, and customer analytics",167141,churn,LIME,0.31180116792583223,0.020373029856615057,0.64,0.4060651288757616
Business,"Marketing, sales, and customer analytics",167141,churn,SHAP,0.4436560906745555,0.022036058016938042,0.64,0.4060651288757616
Climate and Environment,"Climate, ecology, and environment",2079,eucalyptus,AIME,0.6507520524029872,0.03423466720749342,0.41,0.2998147576235847
Climate and Environment,"Climate, ecology, and environment",2079,eucalyptus,Hyb-FPDE,0.6355979359411109,0.018907261966781316,0.41,0.2998147576235847
Climate and Environment,"Climate, ecology, and environment",2079,eucalyptus,LIME,0.32264729034486456,0.025679051402086192,0.41,0.2998147576235847
Climate and Environment,"Climate, ecology, and environment",2079,eucalyptus,SHAP,0.7129407994027082,0.02440642545051438,0.41,0.2998147576235847
Climate and Environment,"Climate, ecology, and environment",9978,ozone-level-8hr,AIME,0.5142011882196011,0.004799433503906337,0.04,0.06992058987801011
Climate and Environment,"Climate, ecology, and environment",9978,ozone-level-8hr,Hyb-FPDE,0.514366285629357,0.004955802203634311,0.04,0.06992058987801011
Climate and Environment,"Climate, ecology, and environment",9978,ozone-level-8hr,LIME,0.4855378415910646,0.0029897695148740264,0.04,0.06992058987801011
Climate and Environment,"Climate, ecology, and environment",9978,ozone-level-8hr,SHAP,0.44273809270670145,0.00919887537838051,0.04,0.06992058987801011
Climate and Environment,"Climate, ecology, and environment",146819,climate-model-simulation-crashes,AIME,0.5478470993416341,0.014911569781409317,0.08,0.09189365834726813
Climate and Environment,"Climate, ecology, and environment",146819,climate-model-simulation-crashes,Hyb-FPDE,0.5478907988449575,0.015183727898095458,0.08,0.09189365834726813
Climate and Environment,"Climate, ecology, and environment",146819,climate-model-simulation-crashes,LIME,0.4873439756702636,0.005313479060194078,0.08,0.09189365834726813
Climate and Environment,"Climate, ecology, and environment",146819,climate-model-simulation-crashes,SHAP,0.5097737336797021,0.020863118881522414,0.08,0.09189365834726813
Climate and Environment,Remote sensing and satellite imagery,2074,satimage,AIME,0.6624559075374167,0.010639073086061681,0.9199999999999999,0.1873795909674026
Climate and Environment,Remote sensing and satellite imagery,2074,satimage,Hyb-FPDE,0.5495719819086424,0.011965231867648873,0.9199999999999999,0.1873795909674026
Climate and Environment,Remote sensing and satellite imagery,2074,satimage,LIME,0.43283984460763636,0.01491568242157097,0.9199999999999999,0.1873795909674026
