method,mean_deletion_drop_auc,std_deletion_drop_auc,mean_insertion_auc,std_insertion_auc,mean_combined_score,std_combined_score,mean_runtime_seconds,std_runtime_seconds,completed_instances,completed_tasks,mean_test_accuracy,mean_test_balanced_accuracy
aime,0.11604260071051721,0.09092017757323538,0.7906023709850402,0.11018673741217197,0.45332248584777873,0.07936990086262079,0.00526653235999973,6.639442518855289e-05,200,1,0.8108356290174473,0.5676542983298967
cos_fpde,0.11744002703297596,0.0908336006643411,0.7923046119018333,0.1109475912277933,0.45487231946740464,0.0797954685632069,0.004064097000001254,3.4290123397822897e-05,200,1,0.8108356290174473,0.5676542983298967
diff_fpde,0.12300335407630779,0.09250881577999269,0.8002406850897682,0.11408302324464543,0.46162201958303806,0.08226937899731503,0.004017084659999313,3.9342401869435614e-05,200,1,0.8108356290174473,0.5676542983298967
hyb_fpde_grid,0.12300335407630779,0.09250881577999269,0.8002406850897682,0.11408302324464543,0.46162201958303806,0.08226937899731503,0.009587474649999308,0.00026809823726932255,200,1,0.8108356290174473,0.5676542983298967
lime,0.029450934913483415,0.09170632208369954,0.7034901299375801,0.0790206361769363,0.3664705324255317,0.04259462888081417,0.01083650029499907,0.00037709949990833087,200,1,0.8108356290174473,0.5676542983298967
shap,0.01908267733679597,0.11614631532595597,0.6781797030513573,0.0712121698311163,0.3486311901940766,0.06607085497093167,0.06698386493000072,0.012597828713132656,200,1,0.8108356290174473,0.5676542983298967
