method,mean_deletion_drop_auc,std_deletion_drop_auc,mean_insertion_auc,std_insertion_auc,mean_combined_score,std_combined_score,mean_runtime_seconds,std_runtime_seconds,completed_instances,completed_tasks,mean_test_accuracy,mean_test_balanced_accuracy
aime,0.5773682302840367,0.32507576565499535,0.9500262865254668,0.07331269833462147,0.7636972584047517,0.14905727086373172,0.011861437023529722,0.00623640371094638,85,1,0.9764705882352941,0.9833333333333334
cos_fpde,0.5922048123603074,0.3307459371423658,0.9394154993654411,0.10378677781889399,0.7658101558628742,0.15256867598867413,0.010512680917647083,0.0046638772722786045,85,1,0.9764705882352941,0.9833333333333334
diff_fpde,0.5723287159150352,0.33495216732265937,0.9193226630374353,0.13905411705134849,0.7458256894762352,0.15564574675602294,0.01158468460000008,0.004136925865366071,85,1,0.9764705882352941,0.9833333333333334
hyb_fpde_grid,0.5922048123603074,0.3307459371423658,0.9394154993654411,0.10378677781889399,0.7658101558628742,0.15256867598867413,0.014841207011765037,0.006049357763184404,85,1,0.9764705882352941,0.9833333333333334
lime,0.15058150252234032,0.16192125973480215,0.6811246435282015,0.3489766384319028,0.41585307302527086,0.14680286026057282,0.02731393052941254,0.005445370830253435,85,1,0.9764705882352941,0.9833333333333334
shap,0.5929684237434834,0.3433135936123843,0.9661209370733599,0.049466240403229764,0.7795446804084216,0.16346194132982983,0.20549717100000114,0.02446214280394761,85,1,0.9764705882352941,0.9833333333333334
