method,mean_deletion_drop_auc,std_deletion_drop_auc,mean_insertion_auc,std_insertion_auc,mean_combined_score,std_combined_score,mean_runtime_seconds,std_runtime_seconds,completed_instances,completed_tasks,mean_test_accuracy,mean_test_balanced_accuracy
aime,0.7244148352277695,0.2553861176822774,0.7565662256628172,0.18604139097313807,0.7404905304452933,0.19579287844254611,0.010685417209997751,0.0063017878048249485,200,1,0.775,0.775
cos_fpde,0.6835071934088381,0.2929754823327544,0.6801339598109277,0.20768990408417726,0.6818205766098829,0.2120607890956807,0.011146711930001487,0.002819545920603819,200,1,0.775,0.775
diff_fpde,0.6783612395437253,0.2672046886477457,0.6530710556226912,0.2186052907515748,0.6657161475832082,0.20026282968746542,0.010045464414999544,0.00512862978938171,200,1,0.775,0.775
hyb_fpde_grid,0.6835071934088381,0.2929754823327544,0.6801339598109277,0.20768990408417726,0.6818205766098829,0.2120607890956807,0.015576591299999904,0.0048211938716581255,200,1,0.775,0.775
lime,0.5289910100717647,0.33028902380503633,0.47887663172365874,0.28994225792788914,0.5039338208977118,0.2393700934532684,0.03989255638499941,0.005246818561986666,200,1,0.775,0.775
shap,0.7624511485784272,0.23999083217323053,0.8418638190227535,0.15064775309839717,0.8021574838005904,0.1735471996520323,0.5934352191900003,0.022350650804042086,200,1,0.775,0.775
